,2-gram,count
0,"('climate', 'change')",4330
1,"('global', 'warming')",2903
2,"('greenhouse', 'gas')",1495
3,"('carbon', 'dioxide')",1057
4,"('fossil', 'fuel')",975
5,"('hour', 'hour')",948
6,"('degree', 'celsius')",824
7,"('gas', 'emission')",699
8,"('united', 'state')",636
9,"('last', 'year')",631
10,"('paris', 'agreement')",598
11,"('sharm', 'el')",520
12,"('el', 'sheikh')",516
13,"('per', 'cent')",503
14,"('united', 'nation')",496
15,"('loss', 'damage')",485
16,"('new', 'zealand')",465
17,"('global', 'temperature')",438
18,"('climate', 'summit')",403
19,"('extreme', 'weather')",395
20,"('sea', 'level')",368
21,"('impact', 'climate')",347
22,"('developing', 'country')",336
23,"('may', 'earn')",331
24,"('earn', 'affiliate')",331
25,"('affiliate', 'commission')",331
26,"('commission', 'purchase')",331
27,"('purchase', 'something')",331
28,"('something', 'recommended')",331
29,"('recommended', 'link')",331
30,"('methane', 'emission')",326
31,"('global', 'climate')",324
32,"('pre', 'industrial')",320
33,"('warming', 'degree')",312
34,"('carbon', 'emission')",302
35,"('weather', 'event')",295
36,"('net', 'zero')",292
37,"('around', 'world')",286
38,"('said', 'the')",284
39,"('microsoft', 'may')",283
40,"('temperature', 'increase')",269
41,"('climate', 'action')",264
42,"('link', 'article')",262
43,"('climate', 'conference')",257
44,"('long', 'term')",256
45,"('sheikh', 'egypt')",255
46,"('climate', 'crisis')",253
47,"('temperature', 'rise')",252
48,"('limiting', 'global')",242
49,"('natural', 'gas')",241
50,"('european', 'union')",240
51,"('oil', 'gas')",235
52,"('climate', 'talk')",232
53,"('degree', 'fahrenheit')",231
54,"('developing', 'nation')",231
55,"('intergovernmental', 'panel')",217
56,"('panel', 'climate')",217
57,"('the', 'world')",216
58,"('extreme', 'heat')",216
59,"('global', 'carbon')",213
60,"('renewable', 'energy')",209
61,"('million', 'people')",207
62,"('human', 'activity')",205
63,"('tipping', 'point')",203
64,"('heat', 'wave')",202
65,"('past', 'year')",197
66,"('effect', 'climate')",194
67,"('change', 'the')",192
68,"('dioxide', 'emission')",191
69,"('industrial', 'level')",189
70,"('clean', 'energy')",189
71,"('burning', 'fossil')",188
72,"('five', 'year')",188
73,"('et', 'al')",185
74,"('scientist', 'say')",185
75,"('john', 'kerry')",184
76,"('nation', 'climate')",182
77,"('global', 'emission')",182
78,"('world', 'leader')",177
79,"('climate', 'scientist')",177
80,"('paris', 'climate')",177
81,"('limit', 'global')",176
82,"('end', 'century')",173
83,"('joe', 'biden')",173
84,"('level', 'rise')",172
85,"('secretary', 'general')",171
86,"('un', 'climate')",171
87,"('developed', 'country')",171
88,"('new', 'study')",170
89,"('degree', 'warming')",170
90,"('kyoto', 'protocol')",169
91,"('celsius', 'degree')",162
92,"('emission', 'reduction')",161
93,"('president', 'joe')",160
94,"('climate', 'impact')",159
95,"('emission', 'target')",155
96,"('climate', 'envoy')",152
97,"('year', 'ago')",151
98,"('co', 'author')",150
99,"('reduce', 'emission')",145
