,2-gram,count
0,"('midterm', 'election')",3696
1,"('donald', 'trump')",2799
2,"('election', 'day')",2538
3,"('former', 'president')",2496
4,"('secretary', 'state')",1969
5,"('election', 'official')",1860
6,"('joe', 'biden')",1853
7,"('presidential', 'election')",1831
8,"('united', 'state')",1791
9,"('may', 'earn')",1719
10,"('earn', 'affiliate')",1716
11,"('affiliate', 'commission')",1716
12,"('commission', 'purchase')",1716
13,"('purchase', 'something')",1716
14,"('something', 'recommended')",1715
15,"('recommended', 'link')",1715
16,"('president', 'donald')",1604
17,"('link', 'article')",1549
18,"('white', 'house')",1413
19,"('microsoft', 'may')",1370
20,"('two', 'year')",1286
21,"('new', 'york')",1250
22,"('president', 'joe')",1191
23,"('supreme', 'court')",1171
24,"('house', 'representative')",1141
25,"('election', 'result')",1046
26,"('attorney', 'general')",1012
27,"('republican', 'party')",957
28,"('election', 'denier')",930
29,"('senate', 'race')",879
30,"('general', 'election')",862
31,"('polling', 'place')",810
32,"('social', 'medium')",800
33,"('election', 'the')",777
34,"('maricopa', 'county')",770
35,"('republican', 'candidate')",746
36,"('year', 'old')",746
37,"('congressional', 'district')",743
38,"('control', 'house')",736
39,"('last', 'week')",730
40,"('associated', 'press')",727
41,"('across', 'country')",722
42,"('vice', 'president')",721
43,"('house', 'senate')",694
44,"('re', 'election')",670
45,"('early', 'voting')",660
46,"('senate', 'seat')",648
47,"('biden', 'administration')",647
48,"('control', 'senate')",639
49,"('abortion', 'right')",638
50,"('state', 'election')",630
51,"('cast', 'ballot')",618
52,"('kari', 'lake')",582
53,"('herschel', 'walker')",564
54,"('first', 'time')",563
55,"('election', 'night')",562
56,"('red', 'wave')",561
57,"('control', 'congress')",548
58,"('election', 'worker')",535
59,"('last', 'year')",534
60,"('mr', 'biden')",527
61,"('mail', 'in')",523
62,"('campaign', 'finance')",522
63,"('voter', 'fraud')",520
64,"('local', 'election')",519
65,"('fox', 'news')",519
66,"('cortez', 'masto')",498
67,"('state', 'local')",496
68,"('election', 'cycle')",481
69,"('percentage', 'point')",480
70,"('voting', 'machine')",474
71,"('democratic', 'party')",471
72,"('raphael', 'warnock')",467
73,"('mr', 'trump')",466
74,"('election', 'law')",463
75,"('conspiracy', 'theory')",462
76,"('poll', 'worker')",453
77,"('far', 'right')",450
78,"('voting', 'right')",440
79,"('north', 'carolina')",438
80,"('false', 'claim')",435
81,"('ron', 'desantis')",432
82,"('president', 'biden')",423
83,"('poll', 'closed')",410
84,"('democrat', 'republican')",404
85,"('state', 'like')",404
86,"('vote', 'counted')",404
87,"('special', 'counsel')",400
88,"('the', 'associated')",396
89,"('voting', 'system')",395
90,"('democratic', 'candidate')",390
91,"('election', 'state')",389
92,"('political', 'party')",388
93,"('state', 'legislature')",381
94,"('thomson', 'reuters')",375
95,"('new', 'hampshire')",373
96,"('around', 'country')",372
97,"('republican', 'challenger')",372
98,"('democratic', 'sen')",371
99,"('runoff', 'election')",371
