,2-gram,count
0,"('gun', 'violence')",5593
1,"('gun', 'law')",4775
2,"('mass', 'shooting')",4297
3,"('new', 'york')",4075
4,"('law', 'enforcement')",3337
5,"('red', 'flag')",2987
6,"('gun', 'control')",2925
7,"('supreme', 'court')",2908
8,"('second', 'amendment')",2671
9,"('background', 'check')",2526
10,"('flag', 'law')",2445
11,"('may', 'earn')",2440
12,"('earn', 'affiliate')",2439
13,"('affiliate', 'commission')",2439
14,"('commission', 'purchase')",2439
15,"('purchase', 'something')",2439
16,"('something', 'recommended')",2439
17,"('recommended', 'link')",2439
18,"('link', 'article')",2315
19,"('gun', 'owner')",2223
20,"('microsoft', 'may')",2058
21,"('united', 'state')",1940
22,"('year', 'old')",1807
23,"('assault', 'weapon')",1591
24,"('gun', 'safety')",1563
25,"('gun', 'right')",1471
26,"('concealed', 'carry')",1360
27,"('colorado', 'spring')",1348
28,"('last', 'year')",1207
29,"('county', 'sheriff')",1130
30,"('state', 'law')",1127
31,"('gun', 'ownership')",1081
32,"('attorney', 'general')",1060
33,"('bear', 'arm')",1006
34,"('mental', 'health')",982
35,"('capacity', 'magazine')",958
36,"('state', 'police')",902
37,"('police', 'department')",895
38,"('new', 'law')",845
39,"('high', 'school')",819
40,"('social', 'medium')",776
41,"('carry', 'gun')",766
42,"('gun', 'death')",758
43,"('elementary', 'school')",753
44,"('self', 'defense')",753
45,"('stricter', 'gun')",740
46,"('said', 'the')",736
47,"('semi', 'automatic')",719
48,"('federal', 'law')",717
49,"('amendment', 'right')",709
50,"('last', 'week')",703
51,"('law', 'abiding')",696
52,"('sheriff', 'office')",689
53,"('police', 'officer')",687
54,"('york', 'state')",662
55,"('uvalde', 'texas')",660
56,"('new', 'jersey')",657
57,"('el', 'paso')",655
58,"('new', 'gun')",651
59,"('court', 'ruling')",634
60,"('weapon', 'ban')",632
61,"('school', 'shooting')",628
62,"('public', 'safety')",619
63,"('high', 'capacity')",605
64,"('across', 'country')",600
65,"('joe', 'biden')",595
66,"('constitutional', 'right')",577
67,"('ghost', 'gun')",569
68,"('five', 'people')",567
69,"('we', 're')",554
70,"('gun', 'restriction')",543
71,"('state', 'gun')",543
72,"('gun', 'sale')",530
73,"('carry', 'permit')",525
74,"('court', 'decision')",519
75,"('law', 'the')",518
76,"('right', 'bear')",518
77,"('president', 'joe')",513
78,"('said', 'statement')",511
79,"('domestic', 'violence')",504
80,"('the', 'new')",500
81,"('carry', 'law')",500
82,"('the', 'law')",499
83,"('violent', 'crime')",498
84,"('re', 'going')",495
85,"('he', 'said')",493
86,"('control', 'law')",493
87,"('people', 'killed')",489
88,"('keep', 'bear')",483
89,"('police', 'chief')",482
90,"('serial', 'number')",478
91,"('district', 'court')",470
92,"('buy', 'gun')",466
93,"('protection', 'order')",455
94,"('large', 'capacity')",448
95,"('year', 'ago')",441
96,"('right', 'keep')",441
97,"('gun', 'legislation')",438
98,"('latest', 'news')",437
99,"('paso', 'county')",434
