,2-gram,count
0,"('conspiracy', 'theory')",2852
1,"('ping', 'pong')",947
2,"('donald', 'trump')",926
3,"('comet', 'ping')",918
4,"('social', 'medium')",844
5,"('hillary', 'clinton')",691
6,"('conspiracy', 'theorist')",634
7,"('right', 'wing')",586
8,"('far', 'right')",582
9,"('new', 'york')",581
10,"('child', 'sex')",549
11,"('fake', 'news')",509
12,"('pizzagate', 'conspiracy')",488
13,"('year', 'old')",487
14,"('daily', 'beast')",433
15,"('the', 'daily')",414
16,"('colorado', 'spring')",378
17,"('kari', 'lake')",375
18,"('former', 'president')",358
19,"('john', 'podesta')",358
20,"('de', 'la')",354
21,"('sex', 'trafficking')",353
22,"('alex', 'jones')",343
23,"('alt', 'right')",304
24,"('last', 'year')",302
25,"('mass', 'shooting')",282
26,"('north', 'carolina')",282
27,"('sex', 'ring')",276
28,"('twitter', 'com')",259
29,"('election', 'denier')",254
30,"('clinton', 'campaign')",253
31,"('trafficking', 'ring')",249
32,"('paul', 'pelosi')",249
33,"('fox', 'news')",247
34,"('york', 'time')",245
35,"('united', 'state')",233
36,"('president', 'donald')",228
37,"('last', 'week')",220
38,"('democratic', 'party')",209
39,"('child', 'trafficking')",208
40,"('san', 'francisco')",202
41,"('sandy', 'hook')",195
42,"('white', 'house')",193
43,"('nancy', 'pelosi')",192
44,"('maddison', 'welch')",187
45,"('pic', 'twitter')",183
46,"('presidential', 'election')",182
47,"('the', 'new')",180
48,"('and', 'or')",180
49,"('five', 'people')",180
50,"('edgar', 'maddison')",179
51,"('white', 'nationalist')",179
52,"('may', 'earn')",178
53,"('deep', 'state')",173
54,"('link', 'article')",173
55,"('earn', 'affiliate')",173
56,"('affiliate', 'commission')",173
57,"('campaigned', 'alongside')",172
58,"('commission', 'purchase')",172
59,"('purchase', 'something')",172
60,"('something', 'recommended')",172
61,"('recommended', 'link')",172
62,"('election', 'cycle')",169
63,"('republican', 'party')",167
64,"('human', 'trafficking')",165
65,"('joe', 'biden')",163
66,"('earlier', 'year')",162
67,"('child', 'abuse')",161
68,"('pizza', 'restaurant')",159
69,"('elon', 'musk')",156
70,"('year', 'ago')",155
71,"('james', 'alefantis')",155
72,"('assault', 'rifle')",154
73,"('so', 'called')",152
74,"('access', 'information')",149
75,"('lee', 'aldrich')",149
76,"('or', 'access')",143
77,"('katie', 'hobbs')",140
78,"('mar', 'lago')",139
79,"('twitter', 'account')",135
80,"('president', 'trump')",134
81,"('third', 'party')",134
82,"('news', 'story')",133
83,"('microsoft', 'may')",133
84,"('anderson', 'lee')",133
85,"('election', 'day')",132
86,"('washington', 'post')",130
87,"('washington', 'pizzeria')",130
88,"('http', 'co')",130
89,"('secretary', 'state')",129
90,"('blood', 'libel')",128
91,"('four', 'year')",124
92,"('opinion', 'section')",123
93,"('jack', 'posobiec')",123
94,"('re', 'going')",123
95,"('message', 'message')",122
96,"('en', 'la')",121
97,"('he', 'also')",120
98,"('known', 'pizzagate')",120
99,"('trump', 'supporter')",120
