,3-gram,count
0,"('may', 'earn', 'affiliate')",2225
1,"('earn', 'affiliate', 'commission')",2225
2,"('affiliate', 'commission', 'purchase')",2223
3,"('commission', 'purchase', 'something')",2223
4,"('purchase', 'something', 'recommended')",2222
5,"('something', 'recommended', 'link')",2222
6,"('recommended', 'link', 'article')",1855
7,"('microsoft', 'may', 'earn')",1834
8,"('electric', 'vehicle', 'ev')",1407
9,"('plug', 'in', 'hybrid')",1282
10,"('electric', 'vehicle', 'charging')",1133
11,"('internal', 'combustion', 'engine')",804
12,"('lithium', 'ion', 'battery')",802
13,"('inflation', 'reduction', 'act')",746
14,"('electric', 'vehicle', 'market')",675
15,"('vehicle', 'charging', 'station')",630
16,"('battery', 'electric', 'vehicle')",619
17,"('hybrid', 'electric', 'vehicle')",586
18,"('gas', 'powered', 'vehicle')",532
19,"('gas', 'powered', 'car')",528
20,"('electric', 'vehicle', 'charger')",491
21,"('electric', 'vehicle', 'battery')",436
22,"('zero', 'emission', 'vehicle')",430
23,"('electric', 'vehicle', 'the')",403
24,"('greenhouse', 'gas', 'emission')",373
25,"('in', 'hybrid', 'electric')",363
26,"('ev', 'charging', 'station')",356
27,"('new', 'electric', 'vehicle')",356
28,"('charge', 'electric', 'car')",342
29,"('electric', 'vehicle', 'sale')",320
30,"('market', 'electric', 'vehicle')",309
31,"('electric', 'utility', 'vehicle')",298
32,"('commercial', 'electric', 'vehicle')",295
33,"('electric', 'commercial', 'vehicle')",265
34,"('demand', 'electric', 'vehicle')",263
35,"('the', 'motley', 'fool')",263
36,"('highway', 'electric', 'vehicle')",252
37,"('global', 'electric', 'vehicle')",245
38,"('off', 'highway', 'electric')",239
39,"('all', 'electric', 'vehicle')",238
40,"('vehicle', 'excise', 'duty')",231
41,"('petrol', 'diesel', 'car')",224
42,"('the', 'electric', 'vehicle')",213
43,"('appeared', 'first', 'motorbiscuit')",213
44,"('first', 'motorbiscuit', 'microsoft')",213
45,"('motorbiscuit', 'microsoft', 'may')",213
46,"('federal', 'tax', 'credit')",212
47,"('link', 'article', 'the')",212
48,"('ev', 'tax', 'credit')",211
49,"('charging', 'electric', 'vehicle')",211
50,"('all', 'right', 'reserved')",206
51,"('all', 'wheel', 'drive')",205
52,"('vehicle', 'charging', 'infrastructure')",203
53,"('combustion', 'engine', 'vehicle')",198
54,"('buy', 'electric', 'vehicle')",198
55,"('public', 'charging', 'station')",194
56,"('adoption', 'electric', 'vehicle')",190
57,"('forward', 'looking', 'statement')",183
58,"('vehicle', 'charger', 'market')",182
59,"('used', 'electric', 'vehicle')",181
60,"('fully', 'electric', 'vehicle')",180
61,"('charge', 'electric', 'vehicle')",180
62,"('vehicle', 'ev', 'battery')",180
63,"('commercial', 'vehicle', 'market')",180
64,"('transition', 'electric', 'vehicle')",178
65,"('wallbox', 'electric', 'vehicle')",177
66,"('thermal', 'management', 'system')",174
67,"('electric', 'vehicle', 'company')",173
68,"('million', 'electric', 'vehicle')",172
69,"('electric', 'plug', 'in')",171
70,"('ev', 'charging', 'infrastructure')",170
71,"('president', 'joe', 'biden')",170
72,"('electric', 'hybrid', 'vehicle')",167
73,"('electric', 'vehicle', 'industry')",166
74,"('ford', 'mustang', 'mach')",165
75,"('all', 'electric', 'car')",164
76,"('utility', 'vehicle', 'market')",162
77,"('sony', 'honda', 'mobility')",160
78,"('plug', 'in', 'electric')",160
79,"('vehicle', 'electric', 'vehicle')",160
80,"('automotive', 'battery', 'thermal')",160
81,"('battery', 'thermal', 'management')",160
82,"('electric', 'vehicle', 'owner')",158
83,"('cost', 'charge', 'electric')",158
84,"('fluid', 'lubricant', 'market')",156
85,"('kwh', 'battery', 'pack')",154
86,"('cost', 'electric', 'vehicle')",153
87,"('lubricant', 'market', 'electric')",152
88,"('charging', 'station', 'market')",150
89,"('fully', 'electric', 'car')",143
90,"('internal', 'combustion', 'vehicle')",142
91,"('ev', 'battery', 'market')",142
92,"('electric', 'vehicle', 'maker')",141
93,"('largest', 'electric', 'vehicle')",141
94,"('electric', 'vehicle', 'infrastructure')",140
95,"('gasoline', 'powered', 'car')",138
96,"('electric', 'vehicle', 'stock')",137
97,"('electric', 'car', 'market')",136
98,"('light', 'duty', 'vehicle')",134
99,"('dc', 'fast', 'charging')",133
