,3-gram,count
0,"('president', 'vladimir', 'putin')",954
1,"('may', 'earn', 'affiliate')",935
2,"('earn', 'affiliate', 'commission')",935
3,"('affiliate', 'commission', 'purchase')",935
4,"('commission', 'purchase', 'something')",935
5,"('purchase', 'something', 'recommended')",935
6,"('something', 'recommended', 'link')",935
7,"('recommended', 'link', 'article')",816
8,"('microsoft', 'may', 'earn')",727
9,"('russian', 'president', 'vladimir')",660
10,"('nuclear', 'power', 'plant')",631
11,"('ukrainian', 'president', 'volodymyr')",619
12,"('president', 'volodymyr', 'zelenskyy')",565
13,"('russia', 'war', 'ukraine')",398
14,"('zaporizhzhia', 'nuclear', 'power')",387
15,"('russia', 'invasion', 'ukraine')",331
16,"('president', 'volodymyr', 'zelensky')",302
17,"('president', 'joe', 'biden')",267
18,"('use', 'nuclear', 'weapon')",259
19,"('atomic', 'energy', 'agency')",243
20,"('russia', 'ukraine', 'war')",240
21,"('pic', 'twitter', 'com')",236
22,"('international', 'atomic', 'energy')",232
23,"('air', 'defense', 'system')",226
24,"('president', 'volodymyr', 'zelenskiy')",221
25,"('black', 'sea', 'grain')",212
26,"('special', 'military', 'operation')",211
27,"('visited', 'npr', 'service')",189
28,"('sponsorship', 'credit', 'message')",189
29,"('the', 'united', 'state')",186
30,"('use', 'dirty', 'bomb')",179
31,"('sea', 'grain', 'initiative')",178
32,"('full', 'scale', 'invasion')",166
33,"('the', 'washington', 'post')",165
34,"('von', 'der', 'leyen')",165
35,"('high', 'performance', 'computing')",164
36,"('air', 'defence', 'system')",157
37,"('russian', 'missile', 'strike')",155
38,"('chancellor', 'olaf', 'scholz')",153
39,"('ukrainian', 'armed', 'force')",153
40,"('if', 'allow', 'cooky')",147
41,"('foreign', 'minister', 'sergei')",146
42,"('third', 'party', 'vendor')",146
43,"('automotive', 'acoustic', 'engineering')",146
44,"('acoustic', 'engineering', 'service')",146
45,"('performance', 'computing', 'service')",146
46,"('secretary', 'general', 'jens')",141
47,"('general', 'jens', 'stoltenberg')",141
48,"('military', 'vehicle', 'electrification')",139
49,"('russian', 'defense', 'ministry')",138
50,"('minister', 'sergei', 'shoigu')",136
51,"('deputy', 'prime', 'minister')",134
52,"('ukraine', 'energy', 'infrastructure')",133
53,"('state', 'antony', 'blinken')",133
54,"('spokesman', 'dmitry', 'peskov')",131
55,"('defense', 'ministry', 'said')",126
56,"('visitor', 'npr', 'service')",126
57,"('npr', 'service', 'npr')",126
58,"('npr', 'third', 'party')",126
59,"('third', 'party', 'service')",126
60,"('interest', 'these', 'cooky')",126
61,"('visit', 'npr', 'service')",126
62,"('show', 'sponsorship', 'credit')",126
63,"('serve', 'sponsorship', 'credit')",126
64,"('credit', 'message', 'website')",126
65,"('secretary', 'state', 'antony')",125
66,"('nato', 'secretary', 'general')",124
67,"('volodymyr', 'zelenskiy', 'said')",121
68,"('defense', 'minister', 'sergei')",120
69,"('war', 'ukraine', 'the')",117
70,"('iranian', 'made', 'drone')",117
71,"('minister', 'rishi', 'sunak')",114
72,"('prime', 'minister', 'rishi')",113
73,"('volodymyr', 'zelenskyy', 'said')",111
74,"('nuclear', 'safety', 'security')",111
75,"('ukraine', 'zaporizhzhia', 'nuclear')",111
76,"('bank', 'dnipro', 'river')",111
77,"('minister', 'sergei', 'lavrov')",108
78,"('kremlin', 'spokesman', 'dmitry')",108
79,"('ukraine', 'air', 'defense')",106
80,"('engineering', 'service', 'market')",106
81,"('world', 'war', 'ii')",105
82,"('der', 'leyen', 'said')",105
83,"('month', 'old', 'war')",105
84,"('russian', 'foreign', 'minister')",104
85,"('computing', 'service', 'market')",103
86,"('black', 'sea', 'fleet')",102
87,"('ukraine', 'president', 'volodymyr')",99
88,"('using', 'nuclear', 'weapon')",99
89,"('russia', 'attack', 'ukraine')",99
90,"('scale', 'invasion', 'ukraine')",98
91,"('secretary', 'lloyd', 'austin')",98
92,"('vehicle', 'electrification', 'market')",97
93,"('minister', 'dmytro', 'kuleba')",93
94,"('russian', 'defense', 'minister')",93
95,"('southern', 'city', 'kherson')",91
96,"('ursula', 'von', 'der')",91
97,"('the', 'russian', 'defense')",91
98,"('foreign', 'minister', 'dmytro')",90
99,"('nearly', 'month', 'old')",90
