,3-gram,count
0,"('northern', 'ireland', 'protocol')",2076
1,"('may', 'earn', 'affiliate')",1780
2,"('earn', 'affiliate', 'commission')",1780
3,"('affiliate', 'commission', 'purchase')",1780
4,"('commission', 'purchase', 'something')",1780
5,"('purchase', 'something', 'recommended')",1780
6,"('something', 'recommended', 'link')",1780
7,"('microsoft', 'may', 'earn')",1539
8,"('eu', 'single', 'market')",1117
9,"('minister', 'boris', 'johnson')",1080
10,"('prime', 'minister', 'boris')",1074
11,"('von', 'der', 'leyen')",982
12,"('no', 'deal', 'brexit')",935
13,"('post', 'brexit', 'trade')",853
14,"('britain', 'northern', 'ireland')",710
15,"('good', 'friday', 'agreement')",670
16,"('the', 'prime', 'minister')",661
17,"('market', 'custom', 'union')",610
18,"('brexit', 'trade', 'deal')",609
19,"('single', 'market', 'custom')",607
20,"('british', 'prime', 'minister')",603
21,"('recommended', 'link', 'article')",600
22,"('privacy', 'policy', 'term')",599
23,"('policy', 'term', 'service')",591
24,"('ursula', 'von', 'der')",585
25,"('this', 'site', 'protected')",574
26,"('site', 'protected', 'recaptcha')",574
27,"('protected', 'recaptcha', 'google')",574
28,"('recaptcha', 'google', 'privacy')",574
29,"('google', 'privacy', 'policy')",574
30,"('term', 'service', 'apply')",574
31,"('confirm', 'data', 'entered')",565
32,"('data', 'entered', 'correctly')",565
33,"('entered', 'correctly', 'read')",565
34,"('correctly', 'read', 'agree')",565
35,"('read', 'agree', 'term')",565
36,"('agree', 'term', 'use')",565
37,"('term', 'use', 'cookie')",565
38,"('use', 'cookie', 'policy')",565
39,"('cookie', 'policy', 'privacy')",565
40,"('policy', 'privacy', 'notice')",565
41,"('privacy', 'notice', 'this')",565
42,"('notice', 'this', 'site')",565
43,"('email', 'address', 'this')",563
44,"('verifyerrors', 'message', 'verifyerrors')",560
45,"('enter', 'email', 'address')",558
46,"('address', 'this', 'field')",556
47,"('this', 'field', 'required')",556
48,"('field', 'required', 'sign')",556
49,"('today', 'headline', 'directly')",540
50,"('headline', 'directly', 'inbox')",540
51,"('directly', 'inbox', 'every')",540
52,"('inbox', 'every', 'morning')",540
53,"('every', 'morning', 'evening')",540
54,"('morning', 'evening', 'free')",540
55,"('evening', 'free', 'daily')",540
56,"('free', 'daily', 'newsletter')",540
57,"('daily', 'newsletter', 'enter')",540
58,"('newsletter', 'enter', 'email')",540
59,"('free', 'trade', 'agreement')",534
60,"('office', 'budget', 'responsibility')",523
61,"('minister', 'rishi', 'sunak')",515
62,"('receive', 'today', 'headline')",515
63,"('level', 'playing', 'field')",514
64,"('the', 'british', 'government')",510
65,"('prime', 'minister', 'rishi')",491
66,"('share', 'articlelearn', 'aboutlearn')",484
67,"('negotiator', 'michel', 'barnier')",480
68,"('minister', 'theresa', 'may')",464
69,"('you', 'unsubscribe', 'time')",459
70,"('store', 'access', 'information')",452
71,"('eu', 'member', 'state')",449
72,"('use', 'sign', 'up')",443
73,"('sign', 'up', 'provide')",443
74,"('up', 'provide', 'content')",443
75,"('provide', 'content', 'way')",443
76,"('content', 'way', 've')",443
77,"('way', 've', 'consented')",443
78,"('ve', 'consented', 'improve')",443
79,"('consented', 'improve', 'understanding')",443
80,"('improve', 'understanding', 'this')",443
81,"('understanding', 'this', 'may')",443
82,"('this', 'may', 'include')",443
83,"('may', 'include', 'advert')",443
84,"('include', 'advert', 'party')",443
85,"('advert', 'party', 'based')",443
86,"('party', 'based', 'understanding')",443
87,"('based', 'understanding', 'you')",443
88,"('understanding', 'you', 'unsubscribe')",443
89,"('unsubscribe', 'time', 'more')",443
90,"('great', 'britain', 'northern')",434
91,"('brexit', 'transition', 'period')",431
92,"('we', 'use', 'sign')",425
93,"('democratic', 'unionist', 'party')",424
94,"('president', 'emmanuel', 'macron')",419
95,"('uk', 'prime', 'minister')",414
96,"('prime', 'minister', 'theresa')",413
97,"('border', 'irish', 'sea')",408
98,"('european', 'court', 'justice')",408
99,"('share', 'articleshare', 'articlethe')",405
