,3-gram,count
0,"('may', 'earn', 'affiliate')",3735
1,"('earn', 'affiliate', 'commission')",3732
2,"('affiliate', 'commission', 'purchase')",3725
3,"('commission', 'purchase', 'something')",3725
4,"('purchase', 'something', 'recommended')",3725
5,"('something', 'recommended', 'link')",3725
6,"('recommended', 'link', 'article')",3425
7,"('microsoft', 'may', 'earn')",3182
8,"('zero', 'covid', 'policy')",2093
9,"('center', 'disease', 'control')",2060
10,"('disease', 'control', 'prevention')",1995
11,"('hour', 'hour', 'hour')",1303
12,"('care', 'team', 'member')",914
13,"('president', 'xi', 'jinping')",759
14,"('tested', 'positive', 'covid')",752
15,"('national', 'health', 'commission')",737
16,"('health', 'care', 'provider')",652
17,"('health', 'human', 'service')",590
18,"('sars', 'cov', 'infection')",574
19,"('new', 'covid', 'case')",540
20,"('food', 'drug', 'administration')",530
21,"('copyright', 'radio', 'new')",514
22,"('respiratory', 'syncytial', 'virus')",513
23,"('president', 'joe', 'biden')",510
24,"('zero', 'covid', 'strategy')",508
25,"('world', 'health', 'organization')",503
26,"('world', 'second', 'largest')",499
27,"('second', 'largest', 'economy')",493
28,"('health', 'care', 'worker')",477
29,"('national', 'institute', 'health')",476
30,"('department', 'health', 'human')",475
31,"('virus', 'cause', 'covid')",459
32,"('information', 'musc', 'health')",456
33,"('nearly', 'three', 'year')",451
34,"('dr', 'anthony', 'fauci')",450
35,"('health', 'care', 'system')",435
36,"('public', 'health', 'official')",423
37,"('long', 'term', 'care')",420
38,"('updated', 'covid', 'booster')",410
39,"('public', 'health', 'emergency')",397
40,"('long', 'covid', 'symptom')",390
41,"('medical', 'center', 'please')",390
42,"('center', 'please', 'contact')",390
43,"('department', 'public', 'health')",389
44,"('up', 'to', 'date')",385
45,"('pfizer', 'biontech', 'moderna')",381
46,"('control', 'prevention', 'cdc')",377
47,"('according', 'center', 'disease')",367
48,"('age', 'trend', 'report')",366
49,"('trend', 'report', 'age')",365
50,"('report', 'age', 'trend')",365
51,"('china', 'zero', 'covid')",358
52,"('sars', 'cov', 'virus')",355
53,"('at', 'home', 'test')",342
54,"('strict', 'zero', 'covid')",342
55,"('link', 'article', 'by')",341
56,"('new', 'york', 'city')",340
57,"('two', 'week', 'ago')",340
58,"('san', 'diego', 'unified')",338
59,"('covid', 'booster', 'shot')",337
60,"('ad', 'free', 'news')",326
61,"('this', 'article', 'originally')",323
62,"('long', 'covid', 'patient')",322
63,"('free', 'news', 'current')",320
64,"('all', 'right', 'reserved')",317
65,"('three', 'year', 'pandemic')",317
66,"('infectious', 'disease', 'expert')",316
67,"('get', 'covid', 'vaccine')",315
68,"('emergency', 'use', 'authorization')",314
69,"('interest', 'rate', 'hike')",313
70,"('the', 'center', 'disease')",313
71,"('visit', 'muschealth', 'org')",312
72,"('musc', 'health', 'florence')",312
73,"('since', 'pandemic', 'began')",310
74,"('white', 'house', 'covid')",309
75,"('syncytial', 'virus', 'rsv')",299
76,"('national', 'institute', 'allergy')",298
77,"('for', 'information', 'musc')",298
78,"('test', 'positive', 'covid')",296
79,"('www', 'marketgrowthreports', 'com')",296
80,"('intensive', 'care', 'unit')",294
81,"('musc', 'edu', 'for')",294
82,"('edu', 'for', 'information')",294
83,"('post', 'covid', 'condition')",293
84,"('ruling', 'communist', 'party')",292
85,"('institute', 'allergy', 'infectious')",290
86,"('the', 'fox', 'news')",290
87,"('allergy', 'infectious', 'disease')",289
88,"('news', 'world', 'report')",288
89,"('covid', 'community', 'level')",287
90,"('china', 'reported', 'new')",287
91,"('get', 'updated', 'covid')",286
92,"('over', 'the', 'counter')",285
93,"('access', 'information', 'device')",285
94,"('infectious', 'disease', 'specialist')",283
95,"('since', 'start', 'pandemic')",282
96,"('the', 'white', 'house')",281
97,"('received', 'least', 'one')",277
98,"('article', 'originally', 'appeared')",275
99,"('standard', 'the', 'thomson')",274
