,4-gram,count
0,"('hour', 'hour', 'hour', 'hour')",1282
1,"('may', 'earn', 'affiliate', 'commission')",1239
2,"('earn', 'affiliate', 'commission', 'purchase')",1239
3,"('affiliate', 'commission', 'purchase', 'something')",1239
4,"('commission', 'purchase', 'something', 'recommended')",1239
5,"('purchase', 'something', 'recommended', 'link')",1239
6,"('microsoft', 'may', 'earn', 'affiliate')",986
7,"('something', 'recommended', 'link', 'article')",978
8,"('sharm', 'el', 'sheikh', 'egypt')",410
9,"('intergovernmental', 'panel', 'climate', 'change')",309
10,"('framework', 'convention', 'climate', 'change')",205
11,"('reduce', 'greenhouse', 'gas', 'emission')",197
12,"('united', 'nation', 'climate', 'change')",188
13,"('nation', 'climate', 'change', 'conference')",177
14,"('secretary', 'general', 'antónio', 'guterres')",158
15,"('recommended', 'link', 'article', 'the')",144
16,"('reducing', 'greenhouse', 'gas', 'emission')",127
17,"('panel', 'climate', 'change', 'ipcc')",122
18,"('united', 'nation', 'framework', 'convention')",121
19,"('nation', 'framework', 'convention', 'climate')",121
20,"('degree', 'celsius', 'degree', 'fahrenheit')",115
21,"('global', 'warming', 'degree', 'celsius')",112
22,"('nevada', 'average', 'agree', 'global')",112
23,"('average', 'agree', 'global', 'warming')",112
24,"('agree', 'global', 'warming', 'affecting')",112
25,"('global', 'warming', 'affecting', 'weather')",112
26,"('warming', 'affecting', 'weather', 'think')",112
27,"('affecting', 'weather', 'think', 'global')",112
28,"('weather', 'think', 'global', 'warming')",112
29,"('think', 'global', 'warming', 'harm')",112
30,"('global', 'warming', 'harm', 'personally')",111
31,"('warming', 'harm', 'personally', 'hear')",111
32,"('harm', 'personally', 'hear', 'global')",111
33,"('personally', 'hear', 'global', 'warming')",111
34,"('hear', 'global', 'warming', 'medium')",111
35,"('global', 'warming', 'medium', 'least')",111
36,"('warming', 'medium', 'least', 'weekly')",111
37,"('medium', 'least', 'weekly', 'think')",111
38,"('least', 'weekly', 'think', 'congress')",111
39,"('weekly', 'think', 'congress', 'address')",111
40,"('think', 'congress', 'address', 'global')",111
41,"('congress', 'address', 'global', 'warming')",111
42,"('address', 'global', 'warming', 'total')",111
43,"('global', 'warming', 'total', 'population')",111
44,"('worried', 'global', 'warming', 'lower')",109
45,"('warming', 'total', 'population', 'people')",105
46,"('total', 'population', 'people', 'worried')",105
47,"('population', 'people', 'worried', 'global')",105
48,"('people', 'worried', 'global', 'warming')",105
49,"('global', 'warming', 'lower', 'nevada')",100
50,"('warming', 'lower', 'nevada', 'average')",100
51,"('lower', 'nevada', 'average', 'agree')",100
52,"('global', 'greenhouse', 'gas', 'emission')",99
53,"('report', 'intergovernmental', 'panel', 'climate')",97
54,"('adverse', 'effect', 'climate', 'change')",95
55,"('the', 'impact', 'climate', 'change')",95
56,"('per', 'cent', 'overall', 'score')",90
57,"('secretary', 'general', 'antonio', 'guterres')",88
58,"('national', 'oceanic', 'atmospheric', 'administration')",85
59,"('climate', 'change', 'performance', 'index')",85
60,"('summit', 'sharm', 'el', 'sheikh')",84
61,"('united', 'nation', 'environment', 'programme')",83
62,"('standard', 'the', 'thomson', 'reuters')",81
63,"('the', 'thomson', 'reuters', 'trust')",81
64,"('thomson', 'reuters', 'trust', 'principle')",81
65,"('un', 'climate', 'change', 'conference')",80
66,"('inefficient', 'fossil', 'fuel', 'subsidy')",79
67,"('content', 'measurement', 'audience', 'insight')",77
68,"('ad', 'content', 'measurement', 'audience')",76
69,"('un', 'framework', 'convention', 'climate')",75
70,"('temperature', 'rise', 'degree', 'celsius')",74
71,"('our', 'standard', 'the', 'thomson')",74
72,"('un', 'secretary', 'general', 'antónio')",74
73,"('damage', 'caused', 'climate', 'change')",74
74,"('world', 'meteorological', 'organization', 'wmo')",73
75,"('climate', 'change', 'air', 'pollution')",73
76,"('this', 'article', 'originally', 'appeared')",73
77,"('climate', 'envoy', 'john', 'kerry')",71
78,"('resort', 'sharm', 'el', 'sheikh')",71
79,"('scan', 'device', 'characteristic', 'identification')",69
80,"('measurement', 'audience', 'insight', 'product')",69
81,"('audience', 'insight', 'product', 'development')",69
82,"('personalised', 'ad', 'content', 'ad')",68
83,"('ad', 'content', 'ad', 'content')",68
84,"('content', 'ad', 'content', 'measurement')",68
85,"('actively', 'scan', 'device', 'characteristic')",67
86,"('recommended', 'link', 'article', 'climate')",67
87,"('prime', 'minister', 'rishi', 'sunak')",66
88,"('use', 'precise', 'geolocation', 'data')",66
89,"('insight', 'product', 'development', 'list')",66
90,"('beginning', 'dialog', 'window', 'escape')",66
91,"('dialog', 'window', 'escape', 'cancel')",66
92,"('window', 'escape', 'cancel', 'close')",66
93,"('escape', 'cancel', 'close', 'window')",66
94,"('cancel', 'close', 'window', 'end')",66
95,"('close', 'window', 'end', 'dialog')",66
96,"('window', 'end', 'dialog', 'window')",66
97,"('precise', 'geolocation', 'data', 'actively')",65
98,"('geolocation', 'data', 'actively', 'scan')",65
99,"('data', 'actively', 'scan', 'device')",65
