,4-gram,count
0,"('may', 'earn', 'affiliate', 'commission')",140
1,"('earn', 'affiliate', 'commission', 'purchase')",140
2,"('affiliate', 'commission', 'purchase', 'something')",140
3,"('commission', 'purchase', 'something', 'recommended')",140
4,"('purchase', 'something', 'recommended', 'link')",140
5,"('something', 'recommended', 'link', 'article')",129
6,"('microsoft', 'may', 'earn', 'affiliate')",101
7,"('leonardo', 'dicaprio', 'gigi', 'hadid')",77
8,"('oct', 'university', 'maine', 'alumnus')",42
9,"('university', 'maine', 'alumnus', 'phillip')",42
10,"('maine', 'alumnus', 'phillip', 'susan')",42
11,"('alumnus', 'phillip', 'susan', 'morse')",42
12,"('phillip', 'susan', 'morse', 'committed')",42
13,"('susan', 'morse', 'committed', 'million')",42
14,"('morse', 'committed', 'million', 'naming')",42
15,"('committed', 'million', 'naming', 'right')",42
16,"('million', 'naming', 'right', 'new')",42
17,"('naming', 'right', 'new', 'basketball')",42
18,"('right', 'new', 'basketball', 'arena')",42
19,"('new', 'basketball', 'arena', 'planned')",42
20,"('basketball', 'arena', 'planned', 'campus')",42
21,"('arena', 'planned', 'campus', 'orono')",42
22,"('planned', 'campus', 'orono', 'school')",42
23,"('campus', 'orono', 'school', 'announced')",42
24,"('orono', 'school', 'announced', 'friday')",42
25,"('school', 'announced', 'friday', 'the')",42
26,"('announced', 'friday', 'the', 'significant')",42
27,"('friday', 'the', 'significant', 'donation')",42
28,"('the', 'significant', 'donation', 'augment')",42
29,"('significant', 'donation', 'augment', 'million')",42
30,"('donation', 'augment', 'million', 'gift')",42
31,"('augment', 'million', 'gift', 'harold')",42
32,"('million', 'gift', 'harold', 'alfond')",42
33,"('gift', 'harold', 'alfond', 'foundation')",42
34,"('harold', 'alfond', 'foundation', 'upgrade')",42
35,"('alfond', 'foundation', 'upgrade', 'construct')",42
36,"('foundation', 'upgrade', 'construct', 'athletic')",42
37,"('upgrade', 'construct', 'athletic', 'facility')",42
38,"('construct', 'athletic', 'facility', 'campus')",42
39,"('athletic', 'facility', 'campus', 'year')",42
40,"('facility', 'campus', 'year', 'period')",42
41,"('campus', 'year', 'period', 'part')",42
42,"('year', 'period', 'part', 'alfond')",42
43,"('period', 'part', 'alfond', 'foundation')",42
44,"('part', 'alfond', 'foundation', 'gift')",42
45,"('alfond', 'foundation', 'gift', 'umaine')",42
46,"('foundation', 'gift', 'umaine', 'official')",42
47,"('gift', 'umaine', 'official', 'pledged')",42
48,"('umaine', 'official', 'pledged', 'raise')",42
49,"('official', 'pledged', 'raise', 'another')",42
50,"('pledged', 'raise', 'another', 'million')",42
51,"('raise', 'another', 'million', 'private')",42
52,"('another', 'million', 'private', 'donation')",42
53,"('million', 'private', 'donation', 'year')",42
54,"('private', 'donation', 'year', 'period')",42
55,"('donation', 'year', 'period', 'complete')",42
56,"('year', 'period', 'complete', 'planned')",42
57,"('period', 'complete', 'planned', 'million')",42
58,"('complete', 'planned', 'million', 'investment')",42
59,"('planned', 'million', 'investment', 'athletic')",42
60,"('million', 'investment', 'athletic', 'facility')",42
61,"('investment', 'athletic', 'facility', 'with')",42
62,"('athletic', 'facility', 'with', 'morse')",42
63,"('facility', 'with', 'morse', 'donation')",42
64,"('with', 'morse', 'donation', 'million')",42
65,"('morse', 'donation', 'million', 'million')",42
66,"('donation', 'million', 'million', 'goal')",42
67,"('million', 'million', 'goal', 'raised')",42
68,"('million', 'goal', 'raised', 'university')",42
69,"('goal', 'raised', 'university', 'maine')",42
70,"('raised', 'university', 'maine', 'foundation')",42
71,"('university', 'maine', 'foundation', 'the')",42
72,"('maine', 'foundation', 'the', 'first')",42
73,"('foundation', 'the', 'first', 'phase')",42
74,"('the', 'first', 'phase', 'athletic')",42
75,"('first', 'phase', 'athletic', 'facility')",42
76,"('phase', 'athletic', 'facility', 'makeover')",42
77,"('athletic', 'facility', 'makeover', 'construction')",42
78,"('facility', 'makeover', 'construction', 'soccer')",42
79,"('makeover', 'construction', 'soccer', 'field')",42
80,"('construction', 'soccer', 'field', 'hockey')",42
81,"('soccer', 'field', 'hockey', 'softball')",42
82,"('field', 'hockey', 'softball', 'stadium')",42
83,"('hockey', 'softball', 'stadium', 'began')",42
84,"('softball', 'stadium', 'began', 'last')",42
85,"('stadium', 'began', 'last', 'spring')",42
86,"('began', 'last', 'spring', 'morse')",42
87,"('last', 'spring', 'morse', 'arena')",42
88,"('spring', 'morse', 'arena', 'one')",42
89,"('morse', 'arena', 'one', 'signature')",42
90,"('arena', 'one', 'signature', 'project')",42
91,"('one', 'signature', 'project', 'master')",42
92,"('signature', 'project', 'master', 'facility')",42
93,"('project', 'master', 'facility', 'plan')",42
94,"('master', 'facility', 'plan', 'the')",42
95,"('facility', 'plan', 'the', 'seat')",42
96,"('plan', 'the', 'seat', 'facility')",42
97,"('the', 'seat', 'facility', 'home')",42
98,"('seat', 'facility', 'home', 'court')",42
99,"('facility', 'home', 'court', 'men')",42
