,4-gram,count
0,"('former', 'president', 'donald', 'trump')",688
1,"('may', 'earn', 'affiliate', 'commission')",258
2,"('earn', 'affiliate', 'commission', 'purchase')",258
3,"('affiliate', 'commission', 'purchase', 'something')",258
4,"('commission', 'purchase', 'something', 'recommended')",258
5,"('purchase', 'something', 'recommended', 'link')",258
6,"('something', 'recommended', 'link', 'article')",244
7,"('microsoft', 'may', 'earn', 'affiliate')",171
8,"('vice', 'president', 'mike', 'penny')",149
9,"('modal', 'window', 'beginning', 'dialog')",142
10,"('window', 'beginning', 'dialog', 'window')",142
11,"('beginning', 'dialog', 'window', 'escape')",142
12,"('dialog', 'window', 'escape', 'cancel')",142
13,"('window', 'escape', 'cancel', 'close')",142
14,"('escape', 'cancel', 'close', 'window')",142
15,"('cancel', 'close', 'window', 'end')",142
16,"('close', 'window', 'end', 'dialog')",142
17,"('window', 'end', 'dialog', 'window')",142
18,"('order', 'make', 'country', 'successful')",135
19,"('make', 'country', 'successful', 'safe')",135
20,"('country', 'successful', 'safe', 'glorious')",135
21,"('successful', 'safe', 'glorious', 'probably')",128
22,"('florida', 'gov', 'ron', 'desantis')",118
23,"('former', 'vice', 'president', 'mike')",118
24,"('this', 'modal', 'window', 'beginning')",114
25,"('world', 'endorses', 'donald', 'trump')",104
26,"('pope', 'francis', 'shock', 'world')",101
27,"('francis', 'shock', 'world', 'endorses')",101
28,"('shock', 'world', 'endorses', 'donald')",100
29,"('serve', 'two', 'term', 'reelected')",96
30,"('house', 'committee', 'investigating', 'jan')",94
31,"('in', 'order', 'make', 'country')",94
32,"('the', 'new', 'york', 'time')",83
33,"('sioux', 'city', 'iowa', 'thursday')",79
34,"('florida', 'governor', 'ron', 'desantis')",78
35,"('end', 'dialog', 'window', 'the')",76
36,"('endorses', 'donald', 'trump', 'president')",74
37,"('latest', 'breaking', 'update', 'delivered')",72
38,"('breaking', 'update', 'delivered', 'straight')",72
39,"('update', 'delivered', 'straight', 'email')",72
40,"('delivered', 'straight', 'email', 'inbox')",72
41,"('the', 'latest', 'breaking', 'update')",70
42,"('sioux', 'gateway', 'airport', 'sioux')",66
43,"('gateway', 'airport', 'sioux', 'city')",66
44,"('straight', 'email', 'inbox', 'former')",66
45,"('email', 'inbox', 'former', 'president')",66
46,"('inbox', 'former', 'president', 'donald')",66
47,"('shall', 'elected', 'office', 'president')",66
48,"('new', 'york', 'attorney', 'general')",65
49,"('effort', 'overturn', 'result', 'election')",65
50,"('olivier', 'douliery', 'abaca', 'press')",65
51,"('airport', 'sioux', 'city', 'iowa')",64
52,"('could', 'serve', 'two', 'term')",64
53,"('multi', 'part', 'effort', 'overturn')",63
54,"('tn', 'president', 'donald', 'trump')",63
55,"('next', 'week', 'midterm', 'election')",61
56,"('douliery', 'abaca', 'press', 'tn')",61
57,"('dialog', 'window', 'the', 'latest')",60
58,"('window', 'the', 'latest', 'breaking')",60
59,"('gov', 'kim', 'reynolds', 'sen')",58
60,"('kim', 'reynolds', 'sen', 'chuck')",58
61,"('reynolds', 'sen', 'chuck', 'grassley')",58
62,"('source', 'axelle', 'bauer', 'griffin')",56
63,"('this', 'article', 'originally', 'appeared')",55
64,"('document', 'including', 'personal', 'communication')",55
65,"('president', 'donald', 'trump', 'announced')",55
66,"('testify', 'either', 'capitol', 'videoconference')",54
67,"('trump', 'testify', 'either', 'capitol')",53
68,"('trump', 'attorney', 'david', 'warrington')",53
69,"('committee', 'investigating', 'jan', 'attack')",53
70,"('investigating', 'jan', 'attack', 'capitol')",53
71,"('president', 'donald', 'trump', 'suing')",51
72,"('continuing', 'multiple', 'day', 'necessary')",51
73,"('make', 'america', 'great', 'again')",50
74,"('support', 'sen', 'chuck', 'grassley')",50
75,"('donald', 'trump', 'suing', 'house')",50
76,"('trump', 'suing', 'house', 'committee')",50
77,"('suing', 'house', 'committee', 'investigating')",50
78,"('subpoena', 'requiring', 'testify', 'the')",50
79,"('requiring', 'testify', 'the', 'suit')",50
80,"('contends', 'former', 'president', 'voluntarily')",50
81,"('former', 'president', 'voluntarily', 'agreed')",50
82,"('president', 'voluntarily', 'agreed', 'provide')",50
83,"('voluntarily', 'agreed', 'provide', 'testimony')",50
84,"('agreed', 'provide', 'testimony', 'document')",50
85,"('provide', 'testimony', 'document', 'response')",50
86,"('testimony', 'document', 'response', 'congressional')",50
87,"('document', 'response', 'congressional', 'subpoena')",50
88,"('response', 'congressional', 'subpoena', 'past')",50
89,"('congressional', 'subpoena', 'past', 'president')",50
90,"('subpoena', 'past', 'president', 'former')",50
91,"('past', 'president', 'former', 'president')",50
92,"('president', 'former', 'president', 'ever')",50
93,"('former', 'president', 'ever', 'compelled')",50
94,"('president', 'ever', 'compelled', 'so')",50
95,"('ever', 'compelled', 'so', 'long')",50
96,"('compelled', 'so', 'long', 'held')",50
97,"('so', 'long', 'held', 'precedent')",50
98,"('long', 'held', 'precedent', 'practice')",50
99,"('held', 'precedent', 'practice', 'maintain')",50
