,4-gram,count
0,"('may', 'earn', 'affiliate', 'commission')",1052
1,"('earn', 'affiliate', 'commission', 'purchase')",1052
2,"('affiliate', 'commission', 'purchase', 'something')",1052
3,"('commission', 'purchase', 'something', 'recommended')",1052
4,"('purchase', 'something', 'recommended', 'link')",1052
5,"('house', 'speaker', 'nancy', 'pelosi')",984
6,"('something', 'recommended', 'link', 'article')",937
7,"('microsoft', 'may', 'earn', 'affiliate')",880
8,"('chinese', 'president', 'xi', 'jinping')",728
9,"('president', 'tsai', 'ing', 'wen')",538
10,"('increasingly', 'aggressive', 'action', 'toward')",374
11,"('white', 'house', 'said', 'biden')",373
12,"('aggressive', 'action', 'toward', 'taiwan')",371
13,"('coercive', 'increasingly', 'aggressive', 'action')",368
14,"('secretary', 'state', 'antony', 'blinken')",361
15,"('speaker', 'nancy', 'pelosi', 'visit')",331
16,"('the', 'white', 'house', 'said')",263
17,"('xinjiang', 'tibet', 'hong', 'kong')",226
18,"('nancy', 'pelosi', 'visit', 'taiwan')",224
19,"('china', 'coercive', 'increasingly', 'aggressive')",223
20,"('stability', 'across', 'taiwan', 'strait')",219
21,"('first', 'in', 'person', 'meeting')",218
22,"('peace', 'stability', 'across', 'taiwan')",215
23,"('taiwan', 'president', 'tsai', 'ing')",207
24,"('core', 'china', 'core', 'interest')",200
25,"('strategic', 'ambiguity', 'whether', 'would')",195
26,"('red', 'line', 'must', 'crossed')",190
27,"('russian', 'president', 'vladimir', 'putin')",187
28,"('need', 'new', 'cold', 'war')",187
29,"('chinese', 'leader', 'xi', 'jinping')",184
30,"('attempt', 'part', 'china', 'invade')",183
31,"('part', 'china', 'invade', 'taiwan')",183
32,"('first', 'red', 'line', 'must')",182
33,"('one', 'china', 'policy', 'changed')",181
34,"('difference', 'prevent', 'competition', 'becoming')",180
35,"('per', 'full', 'term', 'condition')",180
36,"('manage', 'difference', 'prevent', 'competition')",179
37,"('action', 'toward', 'taiwan', 'undermine')",179
38,"('toward', 'taiwan', 'undermine', 'peace')",179
39,"('taiwan', 'undermine', 'peace', 'stability')",179
40,"('south', 'china', 'morning', 'post')",178
41,"('speaker', 'nancy', 'pelosi', 'visited')",177
42,"('relation', 'defense', 'tie', 'taipei')",176
43,"('imminent', 'attempt', 'part', 'china')",176
44,"('one', 'country', 'two', 'system')",174
45,"('undermine', 'peace', 'stability', 'across')",174
46,"('across', 'taiwan', 'strait', 'broader')",174
47,"('taiwan', 'strait', 'broader', 'region')",174
48,"('whether', 'would', 'respond', 'militarily')",172
49,"('would', 'respond', 'militarily', 'island')",172
50,"('recognizes', 'government', 'beijing', 'allowing')",171
51,"('government', 'beijing', 'allowing', 'informal')",171
52,"('respond', 'militarily', 'island', 'attacked')",171
53,"('people', 'liberation', 'army', 'pla')",169
54,"('third', 'five', 'year', 'term')",169
55,"('show', 'china', 'united', 'state')",169
56,"('china', 'united', 'state', 'manage')",169
57,"('united', 'state', 'manage', 'difference')",169
58,"('prevent', 'competition', 'becoming', 'anything')",169
59,"('policy', 'recognizes', 'government', 'beijing')",168
60,"('ambiguity', 'whether', 'would', 'respond')",168
61,"('state', 'manage', 'difference', 'prevent')",168
62,"('competition', 'becoming', 'anything', 'ever')",168
63,"('becoming', 'anything', 'ever', 'near')",168
64,"('anything', 'ever', 'near', 'conflict')",168
65,"('strait', 'broader', 'region', 'jeopardize')",168
66,"('broader', 'region', 'jeopardize', 'global')",168
67,"('region', 'jeopardize', 'global', 'prosperity')",168
68,"('pelosi', 'visit', 'taiwan', 'august')",159
69,"('taiwan', 'question', 'core', 'china')",157
70,"('line', 'must', 'crossed', 'china')",157
71,"('must', 'crossed', 'china', 'relation')",156
72,"('question', 'core', 'china', 'core')",154
73,"('threat', 'use', 'nuclear', 'weapon')",153
74,"('find', 'way', 'work', 'together')",153
75,"('way', 'work', 'together', 'urgent')",153
76,"('work', 'together', 'urgent', 'global')",153
77,"('together', 'urgent', 'global', 'issue')",153
78,"('urgent', 'global', 'issue', 'require')",153
79,"('global', 'issue', 'require', 'mutual')",153
80,"('issue', 'require', 'mutual', 'cooperation')",153
81,"('peace', 'stability', 'taiwan', 'strait')",150
82,"('empower', 'key', 'senior', 'official')",149
83,"('agreed', 'empower', 'key', 'senior')",148
84,"('candid', 'in', 'depth', 'exchange')",148
85,"('in', 'depth', 'exchange', 'view')",148
86,"('communist', 'party', 'national', 'congress')",148
87,"('visit', 'house', 'speaker', 'nancy')",146
88,"('political', 'foundation', 'china', 'relation')",146
89,"('biden', 'xi', 'also', 'agreed')",146
90,"('share', 'responsibility', 'view', 'show')",145
91,"('responsibility', 'view', 'show', 'china')",145
92,"('leader', 'two', 'nation', 'share')",144
93,"('two', 'nation', 'share', 'responsibility')",144
94,"('nation', 'share', 'responsibility', 'view')",144
95,"('view', 'show', 'china', 'united')",144
96,"('conflict', 'find', 'way', 'work')",144
97,"('round', 'the', 'world', 'trip')",143
98,"('amid', 'increasing', 'economic', 'security')",143
99,"('increasing', 'economic', 'security', 'tension')",143
