,4-gram,count
0,"('center', 'disease', 'control', 'prevention')",1682
1,"('skin', 'to', 'skin', 'contact')",678
2,"('may', 'earn', 'affiliate', 'commission')",651
3,"('earn', 'affiliate', 'commission', 'purchase')",651
4,"('affiliate', 'commission', 'purchase', 'something')",651
5,"('commission', 'purchase', 'something', 'recommended')",651
6,"('purchase', 'something', 'recommended', 'link')",651
7,"('something', 'recommended', 'link', 'article')",600
8,"('according', 'center', 'disease', 'control')",539
9,"('microsoft', 'may', 'earn', 'affiliate')",537
10,"('hour', 'hour', 'hour', 'hour')",514
11,"('disease', 'control', 'prevention', 'cdc')",494
12,"('modal', 'window', 'beginning', 'dialog')",486
13,"('window', 'beginning', 'dialog', 'window')",486
14,"('beginning', 'dialog', 'window', 'escape')",486
15,"('dialog', 'window', 'escape', 'cancel')",486
16,"('window', 'escape', 'cancel', 'close')",486
17,"('escape', 'cancel', 'close', 'window')",486
18,"('cancel', 'close', 'window', 'end')",486
19,"('close', 'window', 'end', 'dialog')",486
20,"('window', 'end', 'dialog', 'window')",486
21,"('http', 'www', 'news', 'medical')",472
22,"('www', 'news', 'medical', 'net')",472
23,"('the', 'world', 'health', 'organization')",422
24,"('news', 'medical', 'net', 'news')",420
25,"('world', 'health', 'organization', 'who')",390
26,"('among', 'men', 'sex', 'men')",369
27,"('november', 'http', 'www', 'news')",315
28,"('public', 'health', 'emergency', 'international')",294
29,"('health', 'emergency', 'international', 'concern')",289
30,"('department', 'health', 'human', 'service')",284
31,"('gay', 'bisexual', 'men', 'sex')",275
32,"('bisexual', 'men', 'sex', 'men')",275
33,"('this', 'modal', 'window', 'beginning')",263
34,"('face', 'to', 'face', 'contact')",249
35,"('prolonged', 'face', 'to', 'face')",231
36,"('men', 'sex', 'men', 'msm')",224
37,"('latest', 'breaking', 'update', 'delivered')",220
38,"('breaking', 'update', 'delivered', 'straight')",220
39,"('update', 'delivered', 'straight', 'email')",220
40,"('delivered', 'straight', 'email', 'inbox')",220
41,"('the', 'latest', 'breaking', 'update')",218
42,"('end', 'dialog', 'window', 'the')",213
43,"('dialog', 'window', 'the', 'latest')",208
44,"('window', 'the', 'latest', 'breaking')",208
45,"('uk', 'health', 'security', 'agency')",201
46,"('fever', 'headache', 'muscle', 'ache')",200
47,"('close', 'skin', 'to', 'skin')",199
48,"('case', 'per', 'million', 'people')",196
49,"('vaccine', 'vaccine', 'vaccine', 'vaccine')",196
50,"('last', 'two', 'four', 'week')",195
51,"('georgia', 'department', 'public', 'health')",193
52,"('http', 'www', 'who', 'int')",193
53,"('human', 'to', 'human', 'transmission')",186
54,"('www', 'who', 'int', 'publication')",181
55,"('who', 'int', 'publication', 'item')",181
56,"('morbidity', 'mortality', 'weekly', 'report')",165
57,"('recommended', 'link', 'article', 'the')",165
58,"('people', 'weakened', 'immune', 'system')",164
59,"('the', 'center', 'disease', 'control')",156
60,"('publication', 'item', 'who', 'mpx')",153
61,"('monkeypox', 'virus', 'test', 'kit')",152
62,"('data', 'center', 'disease', 'control')",150
63,"('jackson', 'county', 'public', 'health')",150
64,"('fever', 'swollen', 'lymph', 'node')",149
65,"('fresh', 'layer', 'skin', 'formed')",148
66,"('approved', 'food', 'drug', 'administration')",147
67,"('disease', 'control', 'prevention', 'monkeypox')",145
68,"('int', 'publication', 'item', 'who')",144
69,"('case', 'case', 'per', 'million')",140
70,"('article', 'the', 'world', 'health')",136
71,"('contact', 'health', 'care', 'provider')",135
72,"('public', 'health', 'official', 'said')",131
73,"('link', 'article', 'the', 'world')",130
74,"('monkeypox', 'public', 'health', 'emergency')",129
75,"('cause', 'severe', 'illness', 'death')",128
76,"('used', 'simultaneously', 'one', 'year')",127
77,"('look', 'like', 'pimple', 'blister')",124
78,"('according', 'world', 'health', 'organization')",123
79,"('healed', 'fresh', 'layer', 'skin')",123
80,"('both', 'name', 'used', 'simultaneously')",120
81,"('time', 'symptom', 'start', 'rash')",119
82,"('symptom', 'start', 'rash', 'fully')",119
83,"('start', 'rash', 'fully', 'healed')",119
84,"('rash', 'fully', 'healed', 'fresh')",119
85,"('fully', 'healed', 'fresh', 'layer')",119
86,"('one', 'year', 'monkeypox', 'phased')",119
87,"('name', 'used', 'simultaneously', 'one')",118
88,"('food', 'drug', 'administration', 'fda')",115
89,"('use', 'one', 'following', 'format')",113
90,"('one', 'following', 'format', 'cite')",113
91,"('following', 'format', 'cite', 'article')",113
92,"('format', 'cite', 'article', 'essay')",113
93,"('cite', 'article', 'essay', 'paper')",113
94,"('article', 'essay', 'paper', 'report')",113
95,"('medical', 'research', 'news', 'disease')",111
96,"('research', 'news', 'disease', 'infection')",111
97,"('simultaneously', 'one', 'year', 'monkeypox')",111
98,"('men', 'sex', 'men', 'according')",110
99,"('monkeypox', 'hiv', 'collided', 'tragic')",110
