,4-gram,count
0,"('may', 'earn', 'affiliate', 'commission')",1135
1,"('earn', 'affiliate', 'commission', 'purchase')",1134
2,"('affiliate', 'commission', 'purchase', 'something')",1134
3,"('commission', 'purchase', 'something', 'recommended')",1133
4,"('purchase', 'something', 'recommended', 'link')",1133
5,"('something', 'recommended', 'link', 'article')",1029
6,"('microsoft', 'may', 'earn', 'affiliate')",808
7,"('russian', 'president', 'vladimir', 'putin')",514
8,"('zaporizhzhia', 'nuclear', 'power', 'plant')",361
9,"('related', 'articlesstart', 'unlimited', 'newsweek')",202
10,"('articlesstart', 'unlimited', 'newsweek', 'trialmicrosoft')",202
11,"('unlimited', 'newsweek', 'trialmicrosoft', 'may')",202
12,"('newsweek', 'trialmicrosoft', 'may', 'earn')",202
13,"('trialmicrosoft', 'may', 'earn', 'affiliate')",202
14,"('journalist', 'fight', 'frontline', 'support')",140
15,"('fight', 'frontline', 'support', 'ukrainska')",140
16,"('frontline', 'support', 'ukrainska', 'pravda')",140
17,"('support', 'ukrainska', 'pravda', 'become')",140
18,"('ukrainska', 'pravda', 'become', 'patron')",140
19,"('kremlin', 'spokesman', 'dmitry', 'peskov')",132
20,"('international', 'atomic', 'energy', 'agency')",131
21,"('french', 'president', 'emmanuel', 'macron')",128
22,"('recommended', 'link', 'article', 'by')",123
23,"('military', 'registration', 'enlistment', 'office')",120
24,"('recommended', 'link', 'article', 'reuters')",119
25,"('foreign', 'minister', 'sergei', 'lavrov')",112
26,"('ukrainian', 'president', 'volodymyr', 'zelensky')",106
27,"('president', 'volodymyr', 'zelenskiy', 'said')",104
28,"('russian', 'foreign', 'minister', 'sergei')",96
29,"('ukrainian', 'president', 'volodymyr', 'zelenskyy')",92
30,"('recommended', 'link', 'article', 'russia')",91
31,"('recommended', 'link', 'article', 'the')",90
32,"('million', 'barrel', 'per', 'day')",90
33,"('commicrosoft', 'may', 'earn', 'affiliate')",87
34,"('general', 'staff', 'armed', 'force')",86
35,"('staff', 'armed', 'force', 'ukraine')",84
36,"('read', 'original', 'article', 'the')",84
37,"('original', 'article', 'the', 'new')",84
38,"('article', 'the', 'new', 'voice')",84
39,"('ukraine', 'president', 'volodymyr', 'zelenskiy')",82
40,"('foreign', 'minister', 'dmytro', 'kuleba')",80
41,"('comment', 'related', 'articlesstart', 'unlimited')",80
42,"('secretary', 'state', 'antony', 'blinken')",79
43,"('price', 'cap', 'russian', 'oil')",76
44,"('ursula', 'von', 'der', 'leyen')",76
45,"('nuclear', 'power', 'plant', 'russian')",73
46,"('standwithukraine', 'pic', 'twitter', 'com')",68
47,"('full', 'scale', 'invasion', 'ukraine')",67
48,"('institute', 'study', 'war', 'isw')",65
49,"('defence', 'intelligence', 'update', 'situation')",64
50,"('intelligence', 'update', 'situation', 'ukraine')",64
51,"('uk', 'government', 'response', 'http')",64
52,"('government', 'response', 'http', 'co')",64
53,"('black', 'sea', 'grain', 'initiative')",63
54,"('ukraine', 'zaporizhzhia', 'nuclear', 'power')",62
55,"('latest', 'defence', 'intelligence', 'update')",61
56,"('volodymyr', 'zelenskiy', 'said', 'sunday')",61
57,"('response', 'http', 'co', 'standwithukraine')",60
58,"('http', 'co', 'standwithukraine', 'pic')",60
59,"('co', 'standwithukraine', 'pic', 'twitter')",60
60,"('russia', 'foreign', 'ministry', 'said')",58
61,"('ukraine', 'state', 'run', 'nuclear')",58
62,"('von', 'der', 'leyen', 'said')",58
63,"('nuclear', 'power', 'plant', 'europe')",57
64,"('chinese', 'president', 'xi', 'jinping')",56
65,"('russia', 'foreign', 'ministry', 'comment')",56
66,"('russia', 'defense', 'ministry', 'comment')",56
67,"('zelenskiy', 'said', 'sunday', 'night')",56
68,"('said', 'sunday', 'night', 'address')",56
69,"('un', 'nuclear', 'watchdog', 'conduct')",55
70,"('nuclear', 'watchdog', 'conduct', 'assessment')",55
71,"('watchdog', 'conduct', 'assessment', 'zaporizhzhia')",55
72,"('president', 'ursula', 'von', 'der')",55
73,"('russia', 'state', 'sponsor', 'terrorism')",55
74,"('russia', 'black', 'sea', 'fleet')",54
75,"('russian', 'force', 'launched', 'almost')",54
76,"('force', 'launched', 'almost', 'strike')",54
77,"('launched', 'almost', 'strike', 'sunday')",54
78,"('almost', 'strike', 'sunday', 'ukraine')",54
79,"('strike', 'sunday', 'ukraine', 'east')",54
80,"('sunday', 'ukraine', 'east', 'part')",54
81,"('ukraine', 'east', 'part', 'campaign')",54
82,"('east', 'part', 'campaign', 'artillery')",54
83,"('part', 'campaign', 'artillery', 'fire')",54
84,"('campaign', 'artillery', 'fire', 'president')",54
85,"('artillery', 'fire', 'president', 'volodymyr')",54
86,"('fire', 'president', 'volodymyr', 'zelenskiy')",54
87,"('atomic', 'energy', 'agency', 'iaea')",53
88,"('ukrainian', 'air', 'defense', 'missile')",53
89,"('join', 'half', 'million', 'reader')",53
90,"('half', 'million', 'reader', 'enjoying')",53
91,"('million', 'reader', 'enjoying', 'newsweek')",53
92,"('reader', 'enjoying', 'newsweek', 'free')",53
93,"('enjoying', 'newsweek', 'free', 'newsletter')",53
94,"('newsweek', 'free', 'newsletter', 'newsweek')",53
95,"('free', 'newsletter', 'newsweek', 'digital')",53
96,"('newsletter', 'newsweek', 'digital', 'llc')",53
97,"('state', 'run', 'nuclear', 'energy')",53
98,"('provided', 'serious', 'response', 'proposal')",52
99,"('nuclear', 'power', 'plant', 'ukraine')",51
