,5-gram,count
0,"('may', 'earn', 'affiliate', 'commission', 'purchase')",362
1,"('earn', 'affiliate', 'commission', 'purchase', 'something')",362
2,"('affiliate', 'commission', 'purchase', 'something', 'recommended')",362
3,"('commission', 'purchase', 'something', 'recommended', 'link')",362
4,"('purchase', 'something', 'recommended', 'link', 'article')",326
5,"('microsoft', 'may', 'earn', 'affiliate', 'commission')",307
6,"('hour', 'hour', 'hour', 'hour', 'hour')",82
7,"('the', 'center', 'disease', 'control', 'prevention')",46
8,"('according', 'center', 'disease', 'control', 'prevention')",42
9,"('restricted', 'use', 'emergency', 'situation', 'age')",35
10,"('center', 'disease', 'control', 'prevention', 'cdc')",33
11,"('patch', 'microsoft', 'may', 'earn', 'affiliate')",31
12,"('http', 'www', 'news', 'medical', 'net')",30
13,"('www', 'news', 'medical', 'net', 'news')",28
14,"('something', 'recommended', 'link', 'article', 'the')",28
15,"('leader', 'mccarthy', 'raised', 'president', 'president')",28
16,"('mccarthy', 'raised', 'president', 'president', 'told')",28
17,"('raised', 'president', 'president', 'told', 'would')",28
18,"('president', 'president', 'told', 'would', 'consider')",28
19,"('the', 'secretary', 'defense', 'recommended', 'retaining')",28
20,"('secretary', 'defense', 'recommended', 'retaining', 'mandate')",28
21,"('defense', 'recommended', 'retaining', 'mandate', 'president')",28
22,"('recommended', 'retaining', 'mandate', 'president', 'support')",28
23,"('retaining', 'mandate', 'president', 'support', 'position')",28
24,"('mandate', 'president', 'support', 'position', 'discussion')",28
25,"('president', 'support', 'position', 'discussion', 'ndaa')",28
26,"('support', 'position', 'discussion', 'ndaa', 'ongoing')",28
27,"('approval', 'restricted', 'use', 'emergency', 'situation')",27
28,"('the', 'number', 'american', 'lost', 'life')",27
29,"('number', 'american', 'lost', 'life', 'refused')",27
30,"('american', 'lost', 'life', 'refused', 'covid')",27
31,"('lost', 'life', 'refused', 'covid', 'vaccine')",27
32,"('life', 'refused', 'covid', 'vaccine', 'staggering')",27
33,"('it', 'greatest', 'self', 'immolation', 'american')",27
34,"('greatest', 'self', 'immolation', 'american', 'history')",27
35,"('national', 'institute', 'allergy', 'infectious', 'disease')",26
36,"('national', 'defense', 'authorization', 'act', 'ndaa')",26
37,"('defense', 'authorization', 'act', 'ndaa', 'annual')",26
38,"('authorization', 'act', 'ndaa', 'annual', 'bill')",26
39,"('received', 'approval', 'restricted', 'use', 'emergency')",24
40,"('ছ', 'ত', 'রল', 'গ', 'র')",24
41,"('gotten', 'one', 'shot', 'received', 'booster')",23
42,"('november', 'http', 'www', 'news', 'medical')",21
43,"('chief', 'medical', 'officer', 'rawiri', 'mckree')",20
44,"('medical', 'officer', 'rawiri', 'mckree', 'jansen')",20
45,"('chief', 'science', 'advisor', 'ian', 'town')",20
46,"('house', 'minority', 'leader', 'kevin', 'mccarthy')",20
47,"('white', 'house', 'covid', 'response', 'coordinator')",19
48,"('contributed', 'report', 'microsoft', 'may', 'earn')",19
49,"('report', 'microsoft', 'may', 'earn', 'affiliate')",19
50,"('published', 'british', 'journal', 'sport', 'medicine')",19
51,"('higher', 'dose', 'exercise', 'greater', 'protective')",19
52,"('dose', 'exercise', 'greater', 'protective', 'effect')",19
53,"('exercise', 'greater', 'protective', 'effect', 'obviously')",19
54,"('greater', 'protective', 'effect', 'obviously', 'extent')",19
55,"('biggest', 'health', 'insurer', 'south', 'africa')",19
56,"('study', 'conducted', 'johnson', 'johnson', 'vaccine')",19
57,"('conducted', 'johnson', 'johnson', 'vaccine', 'available')",19
58,"('included', 'covid', 'pcr', 'test', 'result')",19
59,"('covid', 'pcr', 'test', 'result', 'february')",19
60,"('pcr', 'test', 'result', 'february', 'october')",19
61,"('minute', 'physical', 'activity', 'step', 'count')",19
62,"('tracked', 'person', 'using', 'wearable', 'device')",19
63,"('person', 'using', 'wearable', 'device', 'we')",19
64,"('using', 'wearable', 'device', 'we', 'another')",19
65,"('wearable', 'device', 'we', 'another', 'study')",19
66,"('device', 'we', 'another', 'study', 'showed')",19
67,"('we', 'another', 'study', 'showed', 'people')",19
68,"('another', 'study', 'showed', 'people', 'contracted')",19
69,"('study', 'showed', 'people', 'contracted', 'covid')",19
70,"('showed', 'people', 'contracted', 'covid', 'unvaccinated')",19
71,"('people', 'contracted', 'covid', 'unvaccinated', 'individual')",19
72,"('contracted', 'covid', 'unvaccinated', 'individual', 'engaged')",19
73,"('covid', 'unvaccinated', 'individual', 'engaged', 'recommended')",19
74,"('unvaccinated', 'individual', 'engaged', 'recommended', 'minute')",19
75,"('individual', 'engaged', 'recommended', 'minute', 'week')",19
76,"('engaged', 'recommended', 'minute', 'week', 'exercise')",19
77,"('recommended', 'minute', 'week', 'exercise', 'better')",19
78,"('minute', 'week', 'exercise', 'better', 'outcome')",19
79,"('admitted', 'hospital', 'le', 'fewer', 'icu')",19
80,"('hospital', 'le', 'fewer', 'icu', 'respirator')",19
81,"('le', 'fewer', 'icu', 'respirator', 'fewer')",19
82,"('fewer', 'icu', 'respirator', 'fewer', 'died')",19
83,"('public', 'health', 'expert', 'told', 'insider')",18
84,"('health', 'expert', 'told', 'insider', 'china')",18
85,"('we', 'need', 'people', 'military', 'le')",18
86,"('rand', 'paul', 'ky', 'lindsey', 'graham')",18
87,"('vaccinating', 'child', 'important', 'public', 'health')",18
88,"('child', 'important', 'public', 'health', 'measure')",18
89,"('reuters', 'president', 'joe', 'biden', 'administration')",18
90,"('president', 'joe', 'biden', 'administration', 'mulling')",18
91,"('joe', 'biden', 'administration', 'mulling', 'proposal')",18
92,"('biden', 'administration', 'mulling', 'proposal', 'republican')",18
93,"('administration', 'mulling', 'proposal', 'republican', 'leader')",18
94,"('mulling', 'proposal', 'republican', 'leader', 'kevin')",18
95,"('proposal', 'republican', 'leader', 'kevin', 'mccarthy')",18
96,"('republican', 'leader', 'kevin', 'mccarthy', 'repeal')",18
97,"('leader', 'kevin', 'mccarthy', 'repeal', 'military')",18
98,"('kevin', 'mccarthy', 'repeal', 'military', 'covid')",18
99,"('mccarthy', 'repeal', 'military', 'covid', 'vaccine')",18
