,5-gram,count
0,"('may', 'earn', 'affiliate', 'commission', 'purchase')",1289
1,"('earn', 'affiliate', 'commission', 'purchase', 'something')",1289
2,"('affiliate', 'commission', 'purchase', 'something', 'recommended')",1289
3,"('commission', 'purchase', 'something', 'recommended', 'link')",1289
4,"('purchase', 'something', 'recommended', 'link', 'article')",1181
5,"('microsoft', 'may', 'earn', 'affiliate', 'commission')",734
6,"('something', 'recommended', 'link', 'article', 'donald')",248
7,"('recommended', 'link', 'article', 'donald', 'trump')",248
8,"('unlimited', 'newsweek', 'trialmicrosoft', 'may', 'earn')",227
9,"('newsweek', 'trialmicrosoft', 'may', 'earn', 'affiliate')",227
10,"('trialmicrosoft', 'may', 'earn', 'affiliate', 'commission')",227
11,"('related', 'articlesstart', 'unlimited', 'newsweek', 'trialmicrosoft')",214
12,"('articlesstart', 'unlimited', 'newsweek', 'trialmicrosoft', 'may')",214
13,"('something', 'recommended', 'link', 'article', 'former')",208
14,"('former', 'vice', 'president', 'mike', 'penny')",203
15,"('recommended', 'link', 'article', 'former', 'president')",180
16,"('link', 'article', 'former', 'president', 'donald')",180
17,"('article', 'former', 'president', 'donald', 'trump')",180
18,"('the', 'people', 'spoken', 'trump', 'reinstated')",173
19,"('announcing', 'candidacy', 'president', 'united', 'state')",137
20,"('tonight', 'announcing', 'candidacy', 'president', 'united')",124
21,"('commicrosoft', 'may', 'earn', 'affiliate', 'commission')",122
22,"('in', 'order', 'make', 'america', 'great')",115
23,"('trump', 'started', 'basically', 'screaming', 'table')",107
24,"('started', 'basically', 'screaming', 'table', 'telling')",107
25,"('order', 'make', 'america', 'great', 'glorious')",106
26,"('for', 'cnn', 'news', 'newsletter', 'create')",106
27,"('cnn', 'news', 'newsletter', 'create', 'account')",106
28,"('news', 'newsletter', 'create', 'account', 'cnn')",106
29,"('newsletter', 'create', 'account', 'cnn', 'commicrosoft')",106
30,"('create', 'account', 'cnn', 'commicrosoft', 'may')",106
31,"('account', 'cnn', 'commicrosoft', 'may', 'earn')",106
32,"('cnn', 'commicrosoft', 'may', 'earn', 'affiliate')",106
33,"('comment', 'related', 'articlesstart', 'unlimited', 'newsweek')",106
34,"('expressed', 'anti', 'semitism', 'appreciated', 'nice')",98
35,"('anti', 'semitism', 'appreciated', 'nice', 'thing')",98
36,"('semitism', 'appreciated', 'nice', 'thing', 'said')",98
37,"('appreciated', 'nice', 'thing', 'said', 'tucker')",98
38,"('nice', 'thing', 'said', 'tucker', 'carlson')",98
39,"('make', 'america', 'great', 'glorious', 'tonight')",97
40,"('america', 'great', 'glorious', 'tonight', 'announcing')",97
41,"('great', 'glorious', 'tonight', 'announcing', 'candidacy')",97
42,"('glorious', 'tonight', 'announcing', 'candidacy', 'president')",97
43,"('got', 'along', 'great', 'expressed', 'anti')",95
44,"('along', 'great', 'expressed', 'anti', 'semitism')",95
45,"('great', 'expressed', 'anti', 'semitism', 'appreciated')",95
46,"('vox', 'populi', 'vox', 'dei', 'musk')",94
47,"('people', 'spoken', 'trump', 'reinstated', 'vox')",93
48,"('spoken', 'trump', 'reinstated', 'vox', 'populi')",93
49,"('trump', 'reinstated', 'vox', 'populi', 'vox')",93
50,"('reinstated', 'vox', 'populi', 'vox', 'dei')",93
51,"('thing', 'trump', 'perturbed', 'asking', 'vice')",83
52,"('trump', 'perturbed', 'asking', 'vice', 'president')",83
53,"('social', 'medium', 'platform', 'truth', 'social')",81
54,"('news', 'follow', 'facebook', 'twitter', 'instagram')",78
55,"('think', 'thing', 'trump', 'perturbed', 'asking')",77
56,"('something', 'recommended', 'link', 'article', 'the')",76
57,"('ye', 'formerly', 'known', 'kanye', 'west')",74
58,"('article', 'originally', 'appeared', 'usa', 'today')",72
59,"('hold', 'trump', 're', 'talking', 'ye')",71
60,"('white', 'house', 'spokesman', 'andrew', 'bates')",71
61,"('newsletter', 'for', 'latest', 'news', 'follow')",70
62,"('for', 'latest', 'news', 'follow', 'facebook')",70
63,"('latest', 'news', 'follow', 'facebook', 'twitter')",70
64,"('why', 'would', 'agree', 'meet', 'also')",70
65,"('would', 'agree', 'meet', 'also', 'know')",70
66,"('agree', 'meet', 'also', 'know', 'nick')",70
67,"('meet', 'also', 'know', 'nick', 'fuentes')",70
68,"('when', 'trump', 'started', 'basically', 'screaming')",68
69,"('lose', 'mean', 'ever', 'worked', 'anyone')",68
70,"('mean', 'ever', 'worked', 'anyone', 'history')",68
71,"('rule', 'regulation', 'article', 'even', 'found')",68
72,"('regulation', 'article', 'even', 'found', 'constitution')",68
