,5-gram,count
0,"('may', 'earn', 'affiliate', 'commission', 'purchase')",272
1,"('earn', 'affiliate', 'commission', 'purchase', 'something')",272
2,"('affiliate', 'commission', 'purchase', 'something', 'recommended')",272
3,"('commission', 'purchase', 'something', 'recommended', 'link')",272
4,"('purchase', 'something', 'recommended', 'link', 'article')",243
5,"('microsoft', 'may', 'earn', 'affiliate', 'commission')",219
6,"('jones', 'company', 'free', 'speech', 'system')",150
7,"('sandy', 'hook', 'elementary', 'school', 'shooting')",134
8,"('company', 'free', 'speech', 'system', 'pay')",118
9,"('count', 'parading', 'demonstrating', 'picketing', 'capitol')",116
10,"('parading', 'demonstrating', 'picketing', 'capitol', 'building')",116
11,"('texas', 'man', 'described', 'video', 'editor')",112
12,"('man', 'described', 'video', 'editor', 'conspiracy')",112
13,"('described', 'video', 'editor', 'conspiracy', 'theory')",112
14,"('video', 'editor', 'conspiracy', 'theory', 'promoting')",112
15,"('editor', 'conspiracy', 'theory', 'promoting', 'infowars')",112
16,"('conspiracy', 'theory', 'promoting', 'infowars', 'website')",112
17,"('theory', 'promoting', 'infowars', 'website', 'pleaded')",112
18,"('promoting', 'infowars', 'website', 'pleaded', 'guilty')",112
19,"('ordered', 'jones', 'company', 'free', 'speech')",112
20,"('free', 'speech', 'system', 'pay', 'nearly')",111
21,"('scene', 'police', 'officer', 'fatally', 'shot')",109
22,"('storming', 'capitol', 'captured', 'footage', 'scene')",105
23,"('capitol', 'captured', 'footage', 'scene', 'police')",105
24,"('captured', 'footage', 'scene', 'police', 'officer')",105
25,"('footage', 'scene', 'police', 'officer', 'fatally')",105
26,"('police', 'officer', 'fatally', 'shot', 'california')",105
27,"('officer', 'fatally', 'shot', 'california', 'woman')",105
28,"('fatally', 'shot', 'california', 'woman', 'joined')",105
29,"('shot', 'california', 'woman', 'joined', 'mob')",105
30,"('california', 'woman', 'joined', 'mob', 'attack')",105
31,"('speech', 'system', 'pay', 'nearly', 'billion')",103
32,"('system', 'pay', 'nearly', 'billion', 'damage')",101
33,"('samuel', 'christopher', 'montoya', 'face', 'maximum')",100
34,"('christopher', 'montoya', 'face', 'maximum', 'sentence')",100
35,"('montoya', 'face', 'maximum', 'sentence', 'six')",100
36,"('face', 'maximum', 'sentence', 'six', 'month')",100
37,"('maximum', 'sentence', 'six', 'month', 'imprisonment')",100
38,"('sentence', 'six', 'month', 'imprisonment', 'pleading')",100
39,"('six', 'month', 'imprisonment', 'pleading', 'guilty')",100
40,"('misdemeanor', 'count', 'parading', 'demonstrating', 'picketing')",100
41,"('demonstrating', 'picketing', 'capitol', 'building', 'district')",100
42,"('picketing', 'capitol', 'building', 'district', 'judge')",100
43,"('capitol', 'building', 'district', 'judge', 'john')",100
44,"('building', 'district', 'judge', 'john', 'bates')",100
45,"('district', 'judge', 'john', 'bates', 'scheduled')",100
46,"('judge', 'john', 'bates', 'scheduled', 'sentence')",100
47,"('john', 'bates', 'scheduled', 'sentence', 'montoya')",100
48,"('infowars', 'website', 'pleaded', 'guilty', 'monday')",97
49,"('massacre', 'sandy', 'hook', 'elementary', 'school')",95
50,"('sandy', 'hook', 'elementary', 'school', 'the')",94
51,"('police', 'officer', 'shot', 'killed', 'babbitt')",93
52,"('officer', 'shot', 'killed', 'babbitt', 'year')",93
53,"('shot', 'killed', 'babbitt', 'year', 'old')",93
54,"('killed', 'babbitt', 'year', 'old', 'air')",93
55,"('babbitt', 'year', 'old', 'air', 'force')",93
56,"('year', 'old', 'air', 'force', 'veteran')",93
57,"('old', 'air', 'force', 'veteran', 'san')",93
58,"('air', 'force', 'veteran', 'san', 'diego')",93
59,"('force', 'veteran', 'san', 'diego', 'climbed')",93
60,"('veteran', 'san', 'diego', 'climbed', 'broken')",93
61,"('san', 'diego', 'climbed', 'broken', 'door')",93
62,"('diego', 'climbed', 'broken', 'door', 'leading')",93
63,"('climbed', 'broken', 'door', 'leading', 'house')",93
64,"('broken', 'door', 'leading', 'house', 'speaker')",93
65,"('door', 'leading', 'house', 'speaker', 'lobby')",93
66,"('leading', 'house', 'speaker', 'lobby', 'identifying')",93
67,"('house', 'speaker', 'lobby', 'identifying', 'sam')",93
68,"('speaker', 'lobby', 'identifying', 'sam', 'infowars')",93
69,"('lobby', 'identifying', 'sam', 'infowars', 'com')",93
