,adjective,count
0,electric,41071
1,new,11657
2,ev,7553
3,hybrid,4019
4,many,3711
5,global,3494
6,first,2805
7,last,2774
8,u,2670
9,high,2664
10,public,2427
11,automotive,2369
12,next,2307
13,much,2185
14,available,2159
15,top,1934
16,best,1832
17,full,1767
18,american,1740
19,federal,1727
20,link,1696
21,free,1688
22,tesla,1648
23,long,1593
24,s,1593
25,good,1573
26,commercial,1549
27,second,1545
28,low,1526
29,major,1514
30,national,1505
31,current,1484
32,different,1398
33,largest,1391
34,able,1363
35,future,1352
36,average,1346
37,due,1342
38,big,1333
39,recent,1299
40,united,1281
41,higher,1275
42,internal,1270
43,third,1266
44,small,1260
45,clean,1258
46,local,1245
47,least,1220
48,expensive,1208
49,environmental,1196
50,latest,1163
51,several,1156
52,key,1154
53,large,1134
54,mile,1128
55,financial,1106
56,solar,1072
57,t,1070
58,north,1058
59,right,1056
60,green,1054
61,significant,1043
62,total,1015
63,likely,994
64,important,988
65,affordable,961
66,chinese,957
67,lower,957
68,general,956
69,potential,929
70,annual,926
71,great,908
72,early,899
73,international,894
74,biggest,891
75,overall,888
76,economic,884
77,le,879
78,european,855
79,additional,852
80,standard,838
81,rivian,816
82,light,795
83,old,794
84,traditional,783
85,similar,765
86,drive,754
87,short,754
88,single,748
89,little,742
90,critical,742
91,grid,741
92,possible,740
93,popular,736
94,nissan,736
95,uk,724
96,real,677
97,america,659
98,mean,655
99,charger,647
