,adjective,count
0,new,3701
1,global,3238
2,european,2706
3,eu,2326
4,national,2118
5,uk,2078
6,international,1710
7,green,1466
8,environmental,1419
9,u,1271
10,renewable,1182
11,first,1143
12,financial,1142
13,high,1124
14,last,1081
15,free,1057
16,economic,1032
17,many,954
18,low,930
19,current,789
20,total,788
21,key,785
22,important,778
23,largest,768
24,industrial,746
25,major,742
26,significant,713
27,higher,705
28,next,695
29,clean,690
30,future,685
31,voluntary,670
32,net,664
33,public,663
34,available,628
35,full,622
36,annual,620
37,additional,619
38,united,614
39,climate,610
40,much,603
41,long,596
42,different,594
43,electric,589
44,right,583
45,good,573
46,effective,572
47,sustainable,562
48,real,543
49,recent,541
50,large,524
51,potential,516
52,china,499
53,forest,498
54,able,494
55,due,491
56,private,480
57,automotive,477
58,regional,476
59,equivalent,469
60,least,464
61,small,458
62,several,458
63,responsible,456
64,local,455
65,domestic,443
66,second,437
67,general,436
68,certain,435
69,possible,434
70,social,430
71,third,427
72,natural,426
73,scheme,415
74,regulatory,413
75,fossil,400
76,best,400
77,big,398
78,political,397
79,human,393
80,open,392
81,overall,390
82,direct,385
83,ambitious,381
84,latest,381
85,chinese,378
86,biggest,376
87,individual,372
88,main,367
89,strong,364
90,clear,363
91,short,360
92,mean,356
93,necessary,356
94,average,353
95,legal,343
96,non,342
97,specific,339
98,january,338
99,lower,333
