,adjective,count
0,new,1115
1,ukraine,604
2,last,570
3,old,393
4,big,370
5,many,370
6,first,363
7,good,361
8,private,347
9,u,326
10,best,320
11,american,312
12,former,312
13,s,297
14,free,296
15,right,258
16,next,246
17,full,243
18,ukrainian,242
19,second,241
20,public,233
21,high,230
22,much,227
23,united,223
24,financial,223
25,black,212
26,double,210
27,t,209
28,top,203
29,third,199
30,national,195
31,leo,192
32,real,188
33,getty,186
34,several,181
35,personal,179
36,russian,176
37,international,171
38,young,169
39,low,169
40,umaine,168
41,white,167
42,little,163
43,daily,162
44,significant,162
45,open,158
46,able,152
47,global,151
48,medical,146
49,athletic,144
50,latest,143
51,military,140
52,total,140
53,great,139
54,additional,139
55,gigi,138
56,republican,133
57,special,131
58,current,131
59,susan,129
60,morse,126
61,long,123
62,legal,122
63,social,119
64,early,119
65,late,117
66,serious,117
67,local,117
68,future,115
69,large,115
70,nonprofit,115
71,mcingvale,115
72,key,114
73,close,112
74,recent,112
75,major,112
76,ryan,111
77,link,111
78,biggest,110
79,net,109
80,available,109
81,environmental,109
82,different,108
83,true,106
84,regular,105
85,common,105
86,important,104
87,charitable,103
88,political,102
89,federal,102
90,foreign,101
91,leonardo,100
92,titanic,98
93,general,97
94,central,97
95,final,97
96,single,97
97,m,96
98,bad,95
99,largest,93
