,adjective,count
0,ukraine,16242
1,russian,14810
2,ukrainian,9512
3,military,4200
4,nuclear,3621
5,russia,2666
6,new,2133
7,u,1957
8,civilian,1732
9,international,1730
10,foreign,1726
11,united,1711
12,western,1539
13,european,1424
14,many,1393
15,npr,1342
16,last,1327
17,general,1187
18,global,1032
19,s,995
20,recent,936
21,latest,923
22,iranian,914
23,first,914
24,prime,910
25,national,910
26,west,866
27,major,860
28,possible,858
29,nato,851
30,high,827
31,political,816
32,february,807
33,official,792
34,eastern,784
35,regional,749
36,link,748
37,southern,723
38,economic,707
39,full,706
40,former,704
41,key,699
42,critical,691
43,putin,690
44,several,682
45,third,666
46,least,662
47,moscow,647
48,american,644
49,black,638
50,special,625
51,senior,611
52,much,607
53,likely,587
54,long,565
55,tuesday,560
56,uk,560
57,right,559
58,local,555
59,due,555
60,old,554
61,kyiv,548
62,early,542
63,monday,530
64,important,520
65,largest,520
66,able,519
67,significant,514
68,top,504
69,large,500
70,next,499
71,biden,489
72,saturday,481
73,wednesday,481
74,clear,478
75,soldier,476
76,thursday,462
77,british,460
78,soviet,449
79,update,439
80,eu,437
81,offensive,434
82,humanitarian,432
83,free,430
84,iran,428
85,strategic,422
86,difficult,418
87,german,414
88,polish,414
89,north,408
90,central,405
91,friday,404
92,public,403
93,second,403
94,different,391
95,un,387
96,current,385
97,human,382
98,sunday,376
99,financial,373
