,adjective,count
0,republican,15743
1,u,7759
2,democratic,6212
3,new,5098
4,former,4802
5,political,4519
6,american,4029
7,midterm,3823
8,presidential,3410
9,last,3230
10,many,3125
11,right,2996
12,first,2880
13,biden,2772
14,s,2734
15,national,2537
16,federal,2233
17,local,2212
18,general,2204
19,early,2189
20,public,2166
21,white,1963
22,congressional,1951
23,senate,1870
24,ukraine,1838
25,next,1793
26,important,1720
27,united,1718
28,likely,1601
29,tuesday,1580
30,social,1544
31,electoral,1524
32,several,1521
33,recent,1511
34,high,1495
35,russian,1419
36,trump,1388
37,official,1331
38,link,1228
39,key,1226
40,second,1220
41,much,1215
42,representative,1204
43,major,1200
44,primary,1198
45,third,1177
46,top,1168
47,incumbent,1168
48,democrat,1114
49,conservative,1110
50,big,1109
51,special,1096
52,good,1082
53,different,1049
54,supreme,1041
55,least,1026
56,old,1026
57,red,1026
58,foreign,1011
59,arizona,1005
60,independent,991
61,clear,967
62,final,960
63,close,955
64,legal,951
65,military,926
66,full,926
67,black,907
68,open,899
69,able,897
70,t,892
71,january,825
72,current,811
73,global,804
74,international,800
75,false,799
76,latest,795
77,voter,793
78,financial,787
79,potential,760
80,economic,742
81,gop,739
82,strong,738
83,young,725
84,re,715
85,north,712
86,gubernatorial,706
87,future,700
88,wednesday,699
89,civil,677
90,little,663
91,due,659
92,large,659
93,legislative,654
94,largest,646
95,mean,643
96,long,637
97,real,632
98,free,619
99,personal,599
