,adjective,count
0,former,6419
1,republican,5027
2,trump,4613
3,new,3236
4,social,3141
5,white,2985
6,presidential,2227
7,last,1851
8,donald,1697
9,political,1661
10,many,1474
11,u,1244
12,american,1191
13,west,1097
14,link,1026
15,first,960
16,right,951
17,january,920
18,public,909
19,special,885
20,great,884
21,tuesday,865
22,legal,848
23,federal,845
24,conservative,800
25,midterm,798
26,general,771
27,third,755
28,supreme,700
29,good,672
30,democratic,663
31,criminal,651
32,biden,644
33,primary,641
34,several,640
35,clear,602
36,mean,587
37,recent,586
38,national,580
39,potential,572
40,twitter,572
41,much,564
42,fox,547
43,top,545
44,free,544
45,united,543
46,big,523
47,early,521
48,saturday,517
49,florida,516
50,major,508
51,second,505
52,next,501
53,t,499
54,full,498
55,gop,483
56,latest,477
57,high,464
58,personal,461
59,nick,444
60,real,438
61,anti,420
62,financial,420
63,newsweek,419
64,little,409
65,old,407
66,likely,406
67,long,398
68,private,390
69,official,380
70,bad,378
71,daily,377
72,follower,372
73,weisselberg,369
74,antisemitic,368
75,n,363
76,jewish,355
77,black,352
78,best,344
79,truth,342
80,least,332
81,america,329
82,s,327
83,cnn,327
84,mr,323
85,eric,323
86,different,323
87,independent,309
88,chief,307
89,friday,306
90,able,298
91,lago,276
92,civil,273
93,key,266
94,unlimited,266
95,sexual,265
96,digital,265
97,senior,261
98,possible,259
99,christian,258
