,adjective,count
0,alex,1450
1,sandy,1416
2,free,865
3,last,629
4,right,626
5,u,571
6,former,549
7,new,509
8,elementary,481
9,old,476
10,first,425
11,punitive,382
12,social,380
13,false,376
14,guilty,357
15,website,315
16,relative,308
17,american,302
18,many,296
19,white,294
20,s,292
21,connecticut,292
22,several,280
23,legal,271
24,texas,264
25,much,264
26,republican,256
27,real,242
28,january,229
29,montoya,225
30,political,225
31,public,222
32,personal,220
33,west,220
34,mob,218
35,federal,210
36,link,205
37,child,202
38,t,200
39,third,191
40,recent,190
41,total,189
42,fbi,186
43,high,185
44,similar,185
45,full,182
46,npr,178
47,video,175
48,content,175
49,sick,173
50,liable,169
51,good,166
52,abusive,161
53,least,161
54,great,159
55,latest,157
56,lie,156
57,emotional,154
58,harassment,151
59,stop,149
60,october,148
61,financial,148
62,multiple,147
63,austin,146
64,shot,144
65,civil,144
66,owen,143
67,friday,139
68,little,137
69,broken,136
70,thursday,136
71,additional,136
72,anti,134
73,controversial,134
74,dead,134
75,trump,134
76,black,133
77,twitter,133
78,big,132
79,red,131
80,viewer,130
81,separate,129
82,capitol,128
83,conservative,124
84,next,123
85,able,122
86,tuesday,121
87,presidential,121
88,top,120
89,august,117
90,maximum,116
91,babbitt,113
92,sunday,113
93,donald,112
94,nazi,112
95,newtown,112
96,sam,110
97,second,110
98,medical,109
99,daily,109
