,adjective,count
0,monkeypox,7188
1,public,6873
2,new,5700
3,medical,3244
4,sexual,2953
5,available,2693
6,outbreak,2679
7,human,2480
8,current,2426
9,global,2365
10,first,2280
11,individual,2227
12,infectious,2101
13,high,1954
14,many,1842
15,u,1800
16,recent,1796
17,united,1769
18,close,1767
19,symptom,1718
20,last,1699
21,severe,1510
22,s,1486
23,local,1485
24,clinical,1446
25,patient,1424
26,national,1412
27,early,1348
28,important,1270
29,positive,1249
30,black,1231
31,international,1228
32,vaccine,1208
33,cdc,1187
34,possible,1098
35,animal,1081
36,central,1070
37,several,1070
38,endemic,1062
39,spread,1044
40,viral,1013
41,different,1008
42,similar,1006
43,white,987
44,federal,983
45,general,982
46,african,975
47,latest,974
48,contact,972
49,second,969
50,low,956
51,skin,935
52,virus,914
53,bisexual,901
54,additional,889
55,uk,879
56,pandemic,873
57,likely,871
58,due,865
59,gay,853
60,dr,840
61,dose,826
62,able,796
63,direct,761
64,large,749
65,west,744
66,effective,742
67,highest,733
68,rare,716
69,common,714
70,immune,710
71,american,708
72,much,707
73,clinic,702
74,covid,689
75,infected,667
76,multiple,663
77,next,649
78,least,639
79,official,639
80,specific,637
81,third,635
82,old,630
83,total,623
84,smallpox,622
85,antiviral,600
86,higher,593
87,potential,587
88,social,585
89,le,576
90,link,575
91,october,568
92,t,560
93,center,559
94,november,558
95,symptomatic,553
96,painful,551
97,present,550
98,window,546
99,hiv,536
