,noun,count
0,climate,35643
1,change,23634
2,country,11126
3,year,10342
4,world,7978
5,people,7912
6,emission,7164
7,energy,6506
8,carbon,5155
9,state,5031
10,time,4911
11,nation,4737
12,action,4491
13,health,4477
14,gas,4403
15,water,4377
16,impact,4341
17,report,4077
18,community,3907
19,level,3752
20,loss,3707
21,risk,3693
22,temperature,3669
23,damage,3612
24,government,3500
25,fuel,3285
26,event,3218
27,heat,3180
28,way,3163
29,policy,3056
30,fund,3049
31,issue,2921
32,part,2905
33,effect,2720
34,help,2693
35,greenhouse,2681
36,research,2576
37,group,2555
38,plan,2547
39,area,2537
40,crisis,2366
41,air,2365
42,weather,2338
43,cop27,2325
44,system,2294
45,work,2256
46,news,2249
47,company,2227
48,environment,2221
49,t,2210
50,day,2209
51,conference,2196
52,leader,2184
53,adaptation,2183
54,food,2178
55,goal,2161
56,something,2157
57,study,2144
58,sea,2136
59,support,2103
60,agreement,2072
61,power,2041
62,development,2038
63,solution,2026
64,article,2026
65,use,2022
66,science,2004
67,president,1982
68,home,1976
69,life,1962
70,disaster,1947
71,problem,1929
72,hour,1925
73,plant,1904
74,data,1901
75,effort,1897
76,service,1873
77,scientist,1861
78,population,1846
79,region,1842
80,fossil,1790
81,technology,1788
82,term,1780
83,project,1780
84,city,1768
85,economy,1754
86,place,1751
87,increase,1751
88,investment,1743
89,week,1715
90,summit,1713
91,disease,1677
92,information,1666
93,university,1665
94,rise,1661
95,decade,1656
96,woman,1636
97,flood,1623
98,example,1619
99,cost,1610
