,noun,count
0,m,4200
1,people,1267
2,hr,941
3,min,895
4,airport,778
5,day,704
6,country,682
7,news,674
8,year,670
9,state,626
10,home,570
11,ifc,552
12,time,535
13,government,508
14,week,495
15,kabul,462
16,family,455
17,president,436
18,woman,431
19,force,425
20,trump,419
21,service,416
22,hour,369
23,life,367
24,today,364
25,story,355
26,taliban,335
27,tues,329
28,man,327
29,flight,325
30,group,321
31,house,318
32,city,314
33,troop,313
34,attack,305
35,minister,299
36,way,298
37,part,296
38,encore,293
39,member,292
40,evacuation,291
41,marine,286
42,help,285
43,show,283
44,school,282
45,month,272
46,afghanistan,262
47,t,261
48,death,260
49,security,259
50,amc,259
51,morning,252
52,strike,249
53,work,247
54,world,245
55,afghan,245
56,air,244
57,mr,244
58,plane,239
59,medium,238
60,secretary,236
61,area,226
62,thing,221
63,war,221
64,s,218
65,biden,215
66,staff,215
67,office,210
68,case,209
69,plan,209
70,night,209
71,water,207
72,place,205
73,car,204
74,street,202
75,tcm,200
76,police,190
77,child,187
78,epix,184
79,department,181
80,operation,180
81,road,180
82,official,177
83,county,176
84,situation,174
85,pg,172
86,mission,171
87,leader,170
88,party,169
89,view,169
90,yesterday,169
91,report,168
92,power,168
93,fire,167
94,information,166
95,get,165
96,twitter,163
97,others,163
98,call,162
99,starz,162
