,noun,count
0,vehicle,41219
1,car,24939
2,battery,13515
3,ev,13300
4,year,12233
5,market,11411
6,company,9817
7,model,7111
8,state,6262
9,cost,5791
10,time,5673
11,energy,5671
12,sale,5071
13,gas,5014
14,price,4934
15,station,4925
16,power,4852
17,range,4762
18,charge,4623
19,industry,4505
20,tax,4390
21,motor,4195
22,emission,4094
23,charger,4088
24,technology,3985
25,tesla,3887
26,report,3826
27,purchase,3741
28,t,3685
29,people,3598
30,system,3480
31,government,3443
32,part,3291
33,road,3273
34,plan,3227
35,something,3171
36,production,3112
37,fuel,3111
38,credit,3104
39,world,3072
40,country,3060
41,consumer,3026
42,truck,3014
43,mile,2985
44,city,2983
45,way,2980
46,automaker,2937
47,infrastructure,2863
48,business,2801
49,use,2767
50,service,2742
51,driver,2721
52,demand,2689
53,brand,2676
54,manufacturer,2669
55,month,2641
56,commission,2604
57,change,2599
58,article,2575
59,auto,2487
60,news,2480
61,number,2422
62,day,2412
63,engine,2393
64,customer,2376
65,share,2343
66,home,2297
67,affiliate,2288
68,plug,2261
69,transportation,2154
70,re,2101
71,climate,2059
72,data,2046
73,ford,2029
74,drive,2016
75,work,2016
76,rate,2007
77,electricity,2005
78,investment,1997
79,level,1992
80,end,1988
81,owner,1930
82,plant,1918
83,today,1907
84,hour,1891
85,issue,1870
86,lithium,1854
87,growth,1852
88,supply,1851
89,research,1839
90,china,1815
91,s,1809
92,help,1805
93,policy,1801
94,thing,1781
95,point,1776
96,product,1753
97,program,1750
98,information,1739
99,suv,1716
