,noun,count
0,emission,15657
1,carbon,14521
2,market,8321
3,climate,5751
4,energy,5315
5,trading,4922
6,year,4887
7,country,4421
8,ets,4164
9,price,4100
10,system,3950
11,credit,3726
12,company,3523
13,government,3429
14,gas,3195
15,industry,3140
16,change,3090
17,scheme,3033
18,sector,2580
19,world,2522
20,fuel,2488
21,state,2333
22,reduction,2290
23,allowance,2194
24,cost,2179
25,policy,2162
26,power,2091
27,project,2034
28,time,1996
29,target,1985
30,business,1905
31,china,1897
32,report,1848
33,plan,1829
34,commission,1804
35,technology,1802
36,eu,1745
37,greenhouse,1732
38,trade,1726
39,level,1691
40,data,1634
41,exchange,1524
42,investment,1471
43,tax,1467
44,use,1359
45,part,1344
46,agreement,1337
47,cap,1327
48,way,1323
49,development,1291
50,nation,1281
51,information,1246
52,environment,1241
53,term,1228
54,co2,1220
55,regulation,1191
56,support,1160
57,mechanism,1147
58,proposal,1146
59,group,1140
60,goal,1122
61,fund,1122
62,article,1100
63,tonne,1098
64,production,1088
65,help,1075
66,measure,1062
67,revenue,1056
68,coal,1056
69,risk,1052
70,service,1049
71,people,1032
72,source,1031
73,member,1026
74,action,1025
75,plant,1013
76,effort,970
77,impact,947
78,news,942
79,economy,931
80,oil,914
81,work,912
82,increase,908
83,transition,907
84,product,907
85,issue,897
86,month,891
87,vehicle,883
88,minister,881
89,value,878
90,permit,874
91,amount,873
92,union,872
93,rule,872
94,number,838
95,demand,831
96,dioxide,826
97,council,821
98,process,816
99,pollution,814
