,noun,count
0,climate,9885
1,change,5407
2,emission,4490
3,year,4485
4,world,3525
5,country,3313
6,temperature,2964
7,carbon,2587
8,gas,2536
9,energy,2048
10,nation,1990
11,time,1983
12,scientist,1706
13,methane,1693
14,level,1688
15,warming,1626
16,people,1623
17,greenhouse,1568
18,report,1556
19,research,1417
20,state,1410
21,increase,1402
22,study,1389
23,agreement,1317
24,heat,1243
25,water,1239
26,impact,1239
27,fuel,1226
28,hour,1150
29,science,1092
30,degree,1066
31,effect,1056
32,goal,1046
33,event,1005
34,sea,999
35,decade,997
36,action,989
37,dioxide,971
38,area,965
39,target,961
40,government,954
41,weather,954
42,news,947
43,planet,926
44,system,914
45,conference,908
46,cop27,902
47,day,893
48,loss,891
49,rise,887
50,company,850
51,way,842
52,part,838
53,term,821
54,earth,820
55,damage,800
56,celsius,795
57,data,791
58,technology,788
59,article,785
60,policy,784
61,effort,784
62,risk,745
63,t,740
64,summit,739
65,week,726
66,president,721
67,leader,720
68,coal,707
69,use,695
70,university,690
71,limit,689
72,region,678
73,group,676
74,record,672
75,fossil,658
76,talk,657
77,air,641
78,help,640
79,china,637
80,el,624
81,statement,618
82,environment,612
83,issue,608
84,ice,607
85,fire,595
86,life,592
87,co2,589
88,fund,585
89,information,583
90,solution,582
91,condition,581
92,crisis,581
93,century,578
94,food,565
95,author,555
96,rate,551
97,plan,551
98,pledge,550
99,nature,548
