,noun,count
0,vaccine,5147
1,covid,2643
2,people,2000
3,health,1765
4,vaccination,1709
5,year,1345
6,booster,1088
7,time,879
8,disease,836
9,infection,808
10,case,789
11,virus,772
12,death,740
13,country,703
14,month,691
15,mandate,668
16,state,666
17,shot,660
18,study,619
19,policy,614
20,news,601
21,house,567
22,data,566
23,m,564
24,risk,545
25,world,525
26,china,513
27,antibody,512
28,commission,508
29,rate,491
30,child,486
31,president,462
32,article,460
33,week,453
34,age,452
35,get,442
36,government,441
37,service,437
38,response,435
39,day,434
40,control,425
41,protection,424
42,something,418
43,group,405
44,flu,398
45,leader,398
46,defense,389
47,member,388
48,coronavirus,387
49,purchase,387
50,number,386
51,department,385
52,company,384
53,affiliate,363
54,report,352
55,care,332
56,omicron,328
57,bivalent,323
58,dos,319
59,research,315
60,pfizer,314
61,force,305
62,bill,304
63,sars,299
64,population,298
65,post,296
66,dr,294
67,official,294
68,school,293
69,microsoft,291
70,information,285
71,university,284
72,expert,284
73,patient,279
74,system,278
75,re,277
76,court,272
77,hospital,268
78,variant,266
79,level,264
80,way,261
81,work,260
82,part,257
83,campaign,256
84,term,254
85,family,253
86,administration,252
87,community,249
88,treatment,246
89,t,245
90,science,244
91,center,239
92,home,238
93,city,233
94,result,232
95,use,231
96,trial,230
97,dose,229
98,authority,228
99,fauci,226
