,noun,count
0,covid,47855
1,health,31184
2,people,28697
3,vaccine,24892
4,case,23113
5,year,19443
6,day,15225
7,infection,14764
8,week,14287
9,data,13561
10,time,13325
11,china,13307
12,death,12505
13,virus,12362
14,state,12352
15,vaccination,12230
16,test,11679
17,month,11656
18,market,10588
19,care,10502
20,country,10293
21,report,10206
22,city,10050
23,number,9958
24,risk,9718
25,booster,9602
26,information,9208
27,disease,9090
28,policy,8947
29,patient,8925
30,rate,8367
31,government,8180
32,home,8012
33,news,7989
34,world,7620
35,study,7080
36,child,6991
37,school,6890
38,service,6731
39,community,6486
40,system,6448
41,group,6340
42,age,6258
43,symptom,6198
44,company,6114
45,hospital,6064
46,control,6055
47,coronavirus,5862
48,research,5648
49,measure,5493
50,level,5484
51,article,5380
52,worker,5283
53,use,5282
54,t,5204
55,official,5165
56,site,5100
57,commission,5053
58,treatment,5047
59,work,5035
60,result,4883
61,something,4853
62,omicron,4791
63,center,4784
64,family,4783
65,help,4679
66,business,4655
67,medium,4624
68,mask,4569
69,shot,4550
70,response,4513
71,variant,4462
72,restriction,4411
73,department,4410
74,flu,4405
75,term,4357
76,purchase,4256
77,musc,4232
78,life,4230
79,president,4219
80,hour,4202
81,authority,4122
82,condition,4121
83,protection,4073
84,get,4049
85,university,4049
86,cdc,4032
87,change,4025
88,part,4010
89,affiliate,3959
90,way,3951
91,member,3936
92,economy,3888
93,area,3873
94,district,3792
95,team,3727
96,county,3687
97,point,3678
98,support,3675
99,population,3646
