,noun,count
0,monkeypox,25085
1,health,18457
2,case,18095
3,virus,11767
4,people,10460
5,disease,9847
6,vaccine,8831
7,infection,6420
8,contact,6399
9,men,6135
10,state,5591
11,risk,5022
12,country,4959
13,outbreak,4779
14,news,4034
15,day,3958
16,transmission,3746
17,week,3733
18,community,3729
19,symptom,3711
20,year,3598
21,cdc,3519
22,vaccination,3488
23,patient,3408
24,department,3299
25,person,3226
26,time,3115
27,lesion,3089
28,study,3066
29,information,3027
30,data,2990
31,rash,2906
32,death,2886
33,world,2829
34,spread,2791
35,prevention,2698
36,official,2679
37,control,2653
38,name,2508
39,emergency,2484
40,care,2456
41,number,2434
42,treatment,2408
43,response,2403
44,report,2339
45,county,2249
46,dr,2209
47,center,2130
48,provider,2084
49,research,2016
50,s,2001
51,test,1982
52,service,1963
53,sex,1949
54,dos,1941
55,organization,1917
56,month,1758
57,city,1757
58,t,1753
59,skin,1734
60,group,1716
61,hiv,1675
62,part,1664
63,drug,1649
64,smallpox,1639
65,exposure,1618
66,agency,1586
67,partner,1552
68,date,1548
69,mpox,1542
70,researcher,1500
71,university,1486
72,concern,1482
73,child,1482
74,body,1477
75,use,1474
76,access,1458
77,school,1448
78,change,1444
79,population,1409
80,area,1399
81,cause,1396
82,administration,1368
83,system,1366
84,effort,1358
85,jynneos,1346
86,covid,1329
87,director,1283
88,window,1259
89,way,1248
90,africa,1231
91,article,1222
92,woman,1220
93,anyone,1174
94,help,1169
95,government,1160
96,region,1132
97,york,1130
98,factor,1122
99,rate,1118
