,noun,count
0,conspiracy,4674
1,people,3347
2,theory,3072
3,year,2606
4,trump,2530
5,pizzagate,2279
6,time,2152
7,election,2149
8,news,2086
9,medium,1908
10,child,1766
11,campaign,1603
12,clinton,1479
13,state,1443
14,twitter,1395
15,day,1377
16,t,1275
17,president,1250
18,video,1245
19,party,1226
20,jones,1206
21,story,1179
22,sex,1139
23,man,1132
24,qanon,1113
25,post,1101
26,group,1087
27,week,1055
28,claim,1005
29,depape,975
30,world,970
31,pizza,954
32,way,950
33,comment,947
34,restaurant,914
35,something,893
36,police,890
37,part,881
38,information,857
39,message,847
40,thing,845
41,life,831
42,washington,809
43,site,787
44,show,746
45,family,726
46,la,723
47,account,718
48,attack,715
49,member,702
50,comet,695
51,candidate,688
52,house,683
53,que,679
54,m,678
55,event,675
56,re,666
57,facebook,662
58,evidence,652
59,democrat,646
60,work,642
61,company,635
62,john,634
63,donald,629
64,welch,627
65,article,625
66,community,620
67,race,617
68,da,607
69,york,588
70,night,582
71,email,576
72,report,575
73,threat,571
74,month,569
75,case,565
76,law,563
77,service,562
78,place,559
79,violence,552
80,support,546
81,court,545
82,government,544
83,idea,542
84,mastriano,541
85,others,540
86,platform,540
87,posobiec,538
88,question,533
89,pizzeria,520
90,podesta,518
91,fact,518
92,center,517
93,pelosi,514
94,point,510
95,charge,510
96,person,499
97,view,496
98,di,495
99,colorado,494
