,noun,count
0,russia,10646
1,war,5478
2,country,3738
3,force,3556
4,president,3092
5,missile,3059
6,state,2891
7,power,2727
8,putin,2594
9,ukraine,2578
10,people,2415
11,year,2392
12,month,2277
13,city,2274
14,region,2085
15,attack,2043
16,week,1948
17,energy,1942
18,day,1841
19,moscow,1830
20,time,1704
21,invasion,1691
22,world,1674
23,defense,1646
24,security,1617
25,price,1518
26,strike,1484
27,kherson,1473
28,plant,1463
29,oil,1414
30,minister,1397
31,commission,1386
32,something,1382
33,official,1368
34,infrastructure,1367
35,article,1353
36,troop,1313
37,ministry,1307
38,part,1296
39,support,1290
40,kyiv,1281
41,purchase,1270
42,news,1258
43,government,1207
44,report,1188
45,reuters,1154
46,affiliate,1138
47,system,1112
48,supply,1102
49,gas,1100
50,kremlin,1091
51,air,1052
52,vladimir,1042
53,area,1011
54,s,1002
55,nation,998
56,service,969
57,sanction,953
58,line,944
59,meeting,912
60,statement,912
61,group,907
62,defence,903
63,crime,886
64,china,871
65,leader,864
66,intelligence,853
67,company,843
68,number,843
69,drone,841
70,way,836
71,winter,832
72,medium,817
73,border,801
74,europe,787
75,member,775
76,information,767
77,weapon,751
78,cap,746
79,source,732
80,position,732
81,operation,730
82,control,729
83,council,728
84,head,726
85,administration,720
86,territory,719
87,comment,711
88,agency,707
89,microsoft,702
90,talk,697
91,electricity,695
92,poland,693
93,effort,681
94,conflict,671
95,law,668
96,biden,658
97,office,656
98,end,651
99,sea,647
