,verb,count
0,said,14182
1,say,5121
2,warming,3335
3,make,3005
4,according,2978
5,including,2949
6,need,2856
7,developing,2325
8,reduce,2161
9,take,2155
10,t,2055
11,get,2043
12,made,1950
13,see,1878
14,come,1822
15,based,1807
16,going,1675
17,found,1561
18,climate,1518
19,rising,1516
20,set,1499
21,think,1493
22,used,1472
23,go,1447
24,told,1423
25,know,1410
26,called,1322
27,recommended,1300
28,making,1285
29,earn,1261
30,put,1248
31,related,1219
32,added,1193
33,caused,1191
34,want,1150
35,include,1138
36,working,1134
37,find,1123
38,increasing,1086
39,seen,1018
40,published,1015
41,re,1014
42,changing,991
43,increased,990
44,using,987
45,keep,975
46,growing,973
47,needed,973
48,flooding,926
49,provide,919
50,wave,881
51,developed,868
52,become,860
53,led,857
54,expected,856
55,known,848
56,agreed,827
57,help,814
58,taking,811
59,reducing,809
60,continue,805
61,getting,783
62,done,781
63,includes,751
64,released,730
65,looking,714
66,hit,701
67,given,699
68,ensure,684
69,coming,680
70,affected,672
71,read,666
72,associated,650
73,reported,644
74,improve,643
75,facing,630
76,look,602
77,addressing,594
78,believe,591
79,causing,591
80,leading,584
81,creating,580
82,trying,573
83,compared,566
84,taken,564
85,left,550
86,got,550
87,took,544
88,came,536
89,existing,532
90,consider,531
91,happening,530
92,estimated,528
93,held,513
94,burning,510
95,change,509
96,use,500
97,announced,498
98,building,495
99,give,490
