,verb,count
0,said,14531
1,charging,11424
2,make,4871
3,say,4364
4,according,3738
5,get,3486
6,powered,3269
7,t,2970
8,ev,2900
9,used,2811
10,take,2725
11,going,2705
12,need,2615
13,go,2593
14,driving,2582
15,come,2523
16,including,2421
17,earn,2310
18,recommended,2300
19,based,2201
20,made,2189
21,want,1973
22,see,1850
23,announced,1746
24,expected,1738
25,making,1722
26,using,1547
27,set,1517
28,re,1510
29,sold,1466
30,looking,1373
31,reduce,1366
32,buy,1329
33,think,1327
34,put,1294
35,find,1242
36,offer,1226
37,know,1191
38,growing,1189
39,coming,1178
40,compared,1145
41,added,1115
42,built,1109
43,told,1105
44,produce,1049
45,found,1047
46,working,1007
47,starting,998
48,read,994
49,keep,985
50,provide,982
51,include,978
52,called,934
53,build,910
54,start,893
55,getting,875
56,needed,875
57,increasing,851
58,includes,838
59,designed,834
60,save,818
61,manufacturing,807
62,run,802
63,seen,792
64,launched,779
65,look,768
66,become,762
67,building,756
68,require,751
69,leading,747
70,help,745
71,sell,731
72,given,721
73,continue,718
74,taking,703
75,reported,685
76,selling,668
77,started,657
78,increased,653
79,charged,652
80,use,649
81,buying,643
82,add,638
83,running,634
84,estimated,622
85,produced,615
86,related,603
87,delivered,597
88,came,590
89,provides,590
90,saving,582
91,considering,581
92,rising,577
93,appeared,577
94,following,573
95,registered,573
96,reducing,571
97,got,569
98,hit,569
99,improve,565
