,verb,count
0,said,5236
1,based,1838
2,reduce,1688
3,say,1614
4,set,1546
5,need,1441
6,make,1439
7,including,1410
8,according,1297
9,used,1025
10,offset,982
11,see,926
12,made,889
13,shipping,868
14,take,845
15,come,777
16,include,775
17,ets,759
18,t,740
19,developing,732
20,get,729
21,expected,720
22,go,703
23,ensure,683
24,reducing,669
25,using,661
26,required,647
27,provide,639
28,going,629
29,making,626
30,want,608
31,proposed,607
32,put,606
33,called,555
34,published,551
35,continue,543
36,china,539
37,compared,529
38,added,516
39,needed,514
40,existing,507
41,told,506
42,given,498
43,looking,494
44,covered,491
45,announced,491
46,following,486
47,eu,469
48,launched,461
49,agreed,459
50,buy,457
51,working,455
52,increased,453
53,provides,449
54,read,447
55,help,442
56,achieve,425
57,find,423
58,think,421
59,know,415
60,offsetting,402
61,use,401
62,become,400
63,setting,394
64,included,388
65,taking,386
66,trading,386
67,improve,372
68,found,371
69,leading,366
70,coming,364
71,traded,364
72,reporting,347
73,building,343
74,keep,342
75,growing,341
76,includes,341
77,cut,340
78,warming,340
79,known,339
80,adopted,335
81,increasing,328
82,started,325
83,seen,323
84,done,321
85,signed,319
86,recommended,317
87,carbon,315
88,earn,312
89,generated,310
90,reported,310
91,developed,305
92,designed,297
93,cutting,295
94,re,294
95,provided,293
96,hit,279
97,estimated,278
98,polluting,277
99,related,274
