,verb,count
0,said,2069
1,according,611
2,made,558
3,get,535
4,say,520
5,t,498
6,make,472
7,told,416
8,go,334
9,got,326
10,want,325
11,including,323
12,going,309
13,know,289
14,dating,278
15,see,272
16,based,260
17,think,259
18,take,254
19,set,252
20,come,247
21,giving,232
22,announced,231
23,winning,228
24,making,223
25,used,219
26,give,208
27,reported,193
28,known,193
29,need,192
30,donated,190
31,following,188
32,put,183
33,seen,181
34,re,181
35,called,180
36,drawing,180
37,look,179
38,given,179
39,win,179
40,sat,178
41,added,175
42,received,173
43,trying,172
44,went,169
45,raised,164
46,held,162
47,estimated,160
48,started,159
49,looking,157
50,shared,155
51,earn,153
52,hit,151
53,working,150
54,wrote,150
55,seems,148
56,read,148
57,spent,148
58,sun,148
59,seeing,145
60,took,144
61,provide,140
62,recommended,140
63,coming,139
64,do,138
65,playing,138
66,sold,138
67,found,137
68,taking,136
69,came,135
70,done,134
71,committed,134
72,getting,133
73,helped,132
74,left,129
75,is,129
76,love,127
77,keep,124
78,find,122
79,saying,117
80,named,117
81,fri,116
82,believe,115
83,continue,113
84,hadid,113
85,asked,112
86,helping,110
87,leading,110
88,met,108
89,planned,108
90,continued,108
91,using,107
92,wyoming,107
93,began,105
94,ve,105
95,worked,105
96,claimed,104
97,arrived,103
98,released,102
99,offer,101
