,verb,count
0,said,14566
1,say,3623
2,according,3059
3,including,2708
4,voting,2485
5,make,2388
6,take,2365
7,elected,2301
8,t,2270
9,made,2065
10,going,2031
11,told,1957
12,called,1917
13,get,1894
14,think,1883
15,earn,1747
16,recommended,1734
17,run,1628
18,know,1520
19,lost,1489
20,come,1454
21,see,1448
22,running,1375
23,polling,1363
24,held,1361
25,counted,1327
26,win,1322
27,want,1298
28,go,1297
29,seen,1239
30,expected,1224
31,voted,1211
32,following,1135
33,need,1084
34,set,1047
35,led,1038
36,reported,1021
37,used,1008
38,working,990
39,democrat,989
40,asked,968
41,continue,948
42,saying,948
43,making,948
44,put,931
45,based,923
46,found,919
47,re,910
48,added,903
49,came,902
50,took,889
51,winning,886
52,defeated,864
53,hold,840
54,counting,833
55,given,832
56,trump,826
57,spent,809
58,left,800
59,raised,790
60,become,789
61,leading,781
62,cast,773
63,announced,772
64,received,766
65,read,760
66,backed,754
67,find,730
68,believe,721
69,wrote,680
70,done,677
71,known,672
72,rejected,666
73,served,663
74,include,652
75,vote,648
76,lake,646
77,seeking,645
78,keep,641
79,closed,633
80,related,632
81,taking,631
82,using,602
83,filed,598
84,conducted,598
85,showed,590
86,became,588
87,s,586
88,trying,579
89,decided,578
90,endorsed,573
91,went,565
92,got,560
93,failed,555
94,remain,548
95,ensure,546
96,remains,545
97,released,540
98,swing,534
99,look,522
