,verb,count
0,said,19444
1,shooting,9037
2,say,5464
3,according,4293
4,including,3257
5,make,3167
6,going,2886
7,t,2686
8,take,2609
9,found,2548
10,killed,2493
11,recommended,2479
12,earn,2450
13,told,2381
14,used,2359
15,get,2236
16,passed,2153
17,made,2074
18,know,1991
19,concealed,1932
20,carrying,1925
21,want,1761
22,go,1752
23,come,1702
24,think,1653
25,called,1626
26,keep,1610
27,need,1552
28,gun,1383
29,filed,1382
30,carry,1369
31,see,1352
32,ruling,1317
33,wrote,1280
34,re,1259
35,killing,1180
36,based,1171
37,saying,1171
38,left,1162
39,asked,1135
40,following,1114
41,put,1109
42,took,1077
43,came,1076
44,related,1025
45,set,1014
46,reported,1013
47,signed,986
48,added,950
49,believe,942
50,taken,939
51,got,913
52,issued,910
53,working,910
54,buy,898
55,armed,880
56,arrested,879
57,reduce,866
58,allowed,853
59,taking,852
60,find,850
61,seen,846
62,making,835
63,include,829
64,read,821
65,required,813
66,went,808
67,check,797
68,led,789
69,known,750
70,requires,750
71,using,745
72,done,732
73,s,723
74,require,703
75,abiding,699
76,died,679
77,convicted,673
78,getting,640
79,held,638
80,happened,636
81,proposed,630
82,hold,628
83,looking,627
84,continue,622
85,began,621
86,prohibited,618
87,charged,616
88,given,613
89,provide,612
90,lost,607
91,trying,603
92,become,599
93,sent,585
94,allows,585
95,requiring,584
96,coming,578
97,argued,576
98,includes,574
99,approved,566
