,verb,count
0,said,3149
1,shooting,1565
2,say,783
3,made,649
4,claimed,616
5,t,586
6,killed,572
7,told,565
8,according,550
9,pay,532
10,ordered,531
11,take,513
12,going,509
13,including,491
14,filed,448
15,found,429
16,described,415
17,get,387
18,saying,380
19,show,357
20,infowars,350
21,asked,342
22,know,330
23,set,324
24,appeared,310
25,go,303
26,called,302
27,think,296
28,wrote,294
29,recommended,290
30,earn,278
31,based,273
32,banned,270
33,died,268
34,reported,267
35,got,265
36,used,262
37,make,261
38,brought,254
39,arrested,249
40,re,243
41,connecticut,231
42,claiming,227
43,received,225
44,showed,224
45,took,224
46,read,221
47,want,221
48,testified,220
49,put,216
50,taken,208
51,following,206
52,host,206
53,posted,205
54,riot,203
55,staged,203
56,lost,203
57,awarded,202
58,related,201
59,came,201
60,see,199
61,suspended,199
62,responded,196
63,believe,194
64,pleaded,189
65,accused,189
66,come,189
67,left,188
68,known,185
69,went,180
70,find,180
71,using,179
72,paid,177
73,making,174
74,use,173
75,leading,171
76,promoted,169
77,com,167
78,wing,167
79,tweeted,161
80,joined,160
81,hearing,160
82,calling,160
83,continued,160
84,sued,160
85,hook,159
86,need,156
87,trying,155
88,promoting,154
89,saw,151
90,issued,151
91,leave,149
92,taking,148
93,ruled,148
94,sent,146
95,keep,144
96,added,140
97,expected,140
98,entering,139
99,done,137
