,verb,count
0,said,12503
1,reported,5451
2,according,3568
3,say,3124
4,including,2652
5,monkeypox,2608
6,get,2491
7,testing,2422
8,infected,2099
9,confirmed,2037
10,spread,1890
11,used,1827
12,found,1629
13,sex,1598
14,know,1444
15,t,1335
16,based,1329
17,need,1256
18,make,1255
19,identified,1211
20,known,1207
21,take,1187
22,spreading,1176
23,include,1135
24,announced,1130
25,recommended,1124
26,getting,1117
27,told,1107
28,vaccinated,1056
29,come,1050
30,published,1026
31,seen,1021
32,see,1001
33,posted,981
34,using,970
35,skin,966
36,received,953
37,continue,951
38,transmitted,905
39,exposed,878
40,go,873
41,tested,854
42,made,838
43,think,827
44,diagnosed,823
45,died,809
46,given,807
47,following,788
48,going,782
49,occurred,777
50,working,763
51,affected,751
52,beginning,749
53,approved,745
54,associated,729
55,considered,723
56,related,722
57,detected,719
58,began,710
59,caused,686
60,setting,658
61,earn,653
62,declared,647
63,added,633
64,linked,633
65,recorded,627
66,called,627
67,develop,601
68,contributing,596
69,reduce,596
70,s,588
71,re,578
72,needed,573
73,includes,562
74,covid,561
75,developed,557
76,provide,556
77,find,549
78,assay,543
79,suspected,539
80,become,535
81,limited,525
82,ongoing,514
83,making,508
84,vaccine,503
85,outbreak,501
86,start,499
87,contaminated,496
88,use,496
89,tracing,485
90,remains,483
91,administered,483
92,symptom,483
93,hospitalized,479
94,started,478
95,ensure,478
96,got,476
97,provided,468
98,growing,450
99,observed,449
