,verb,count
0,said,3869
1,say,1582
2,t,1231
3,told,1104
4,know,1013
5,going,954
6,called,934
7,made,885
8,go,864
9,according,862
10,get,852
11,trafficking,848
12,shooting,847
13,make,819
14,including,818
15,think,810
16,ring,745
17,found,726
18,ping,689
19,believe,658
20,wing,618
21,used,566
22,see,564
23,come,564
24,take,547
25,wrote,537
26,claimed,520
27,began,519
28,read,511
29,want,507
30,reported,499
31,lost,493
32,lake,491
33,went,490
34,got,476
35,left,474
36,trying,463
37,known,455
38,took,446
39,published,439
40,based,438
41,run,433
42,asked,432
43,find,424
44,saying,423
45,came,413
46,put,404
47,running,388
48,posted,378
49,accused,370
50,re,369
51,making,367
52,started,362
53,following,357
54,comet,341
55,killed,337
56,added,334
57,led,329
58,shared,326
59,alleged,325
60,became,324
61,fired,324
62,believed,319
63,described,315
64,set,310
65,received,307
66,arrested,306
67,happened,306
68,involved,305
69,using,301
70,trump,297
71,seen,297
72,getting,296
73,seems,292
74,thought,289
75,do,286
76,appeared,285
77,taken,282
78,keep,254
79,need,251
80,is,248
81,held,245
82,named,244
83,related,231
84,calling,231
85,become,229
86,saw,226
87,coming,225
88,tweeted,223
89,talking,220
90,appears,218
91,given,218
92,claiming,217
93,spreading,217
94,armed,214
95,looking,209
96,working,209
97,tell,207
98,wanted,206
99,promoting,205
