,adjective,count
0,global,8141
1,new,5884
2,climate,4135
3,many,3763
4,environmental,3208
5,u,2974
6,last,2879
7,human,2611
8,united,2476
9,national,2406
10,international,2395
11,high,1965
12,economic,1915
13,much,1864
14,first,1842
15,public,1826
16,vulnerable,1822
17,important,1771
18,natural,1641
19,future,1574
20,american,1560
21,un,1493
22,extreme,1483
23,local,1482
24,major,1477
25,low,1403
26,financial,1392
27,social,1385
28,due,1352
29,recent,1316
30,clean,1298
31,long,1292
32,next,1287
33,least,1285
34,likely,1281
35,green,1273
36,different,1252
37,big,1222
38,renewable,1215
39,sustainable,1207
40,forest,1182
41,s,1174
42,good,1148
43,third,1114
44,young,1102
45,small,1098
46,current,1096
47,large,1091
48,political,1085
49,right,1055
50,federal,1040
51,key,1017
52,solar,1014
53,link,1013
54,average,984
55,degree,978
56,general,964
57,higher,952
58,little,949
59,real,949
60,significant,936
61,latest,922
62,impact,918
63,fossil,918
64,top,909
65,able,891
66,largest,887
67,private,868
68,african,860
69,republican,855
70,european,848
71,several,833
72,severe,812
73,potential,812
74,critical,798
75,clear,791
76,cop27,791
77,t,787
78,mean,773
79,annual,756
80,great,754
81,tree,750
82,electric,749
83,responsible,746
84,early,729
85,individual,723
86,poor,721
87,possible,704
88,rich,680
89,industrial,680
90,coastal,672
91,uk,671
92,central,667
93,best,663
94,ocean,650
95,old,650
96,second,648
97,biggest,647
98,common,646
99,total,638
