,adjective,count
0,global,5980
1,new,2460
2,last,1157
3,degree,1141
4,united,1118
5,u,1095
6,many,1045
7,climate,983
8,human,933
9,much,867
10,natural,699
11,high,692
12,ocean,657
13,international,650
14,national,627
15,industrial,613
16,first,600
17,un,598
18,due,594
19,extreme,588
20,environmental,571
21,european,569
22,arctic,566
23,long,537
24,current,531
25,average,530
26,recent,527
27,large,521
28,s,516
29,least,513
30,low,504
31,next,498
32,important,490
33,economic,486
34,higher,484
35,latest,480
36,major,475
37,different,474
38,likely,467
39,fossil,467
40,public,462
41,green,440
42,third,431
43,annual,416
44,small,402
45,paris,391
46,big,391
47,largest,389
48,full,389
49,atmospheric,385
50,good,384
51,key,382
52,top,375
53,future,373
54,several,370
55,second,368
56,american,368
57,free,364
58,scientific,361
59,total,350
60,potential,344
61,short,342
62,animal,334
63,vulnerable,329
64,general,323
65,forest,321
66,north,320
67,possible,320
68,responsible,320
69,south,315
70,significant,301
71,cop27,301
72,n,300
73,link,287
74,critical,286
75,clean,282
76,solar,277
77,mean,276
78,similar,276
79,renewable,276
80,local,275
81,financial,274
82,past,273
83,social,273
84,huge,271
85,northern,268
86,clear,268
87,right,267
88,political,260
89,biggest,248
90,common,245
91,open,244
92,egypt,239
93,final,239
94,impact,238
95,british,236
96,le,232
97,able,229
98,little,225
99,rich,221
