,adjective,count
0,former,3760
1,republican,3142
2,trump,2133
3,new,1573
4,presidential,1357
5,political,1029
6,social,962
7,white,955
8,last,892
9,fake,871
10,u,793
11,american,785
12,many,735
13,midterm,638
14,first,589
15,donald,560
16,democratic,516
17,great,507
18,s,495
19,national,448
20,third,439
21,general,434
22,tuesday,427
23,conservative,423
24,public,420
25,second,419
26,russian,418
27,biden,415
28,right,406
29,recent,405
30,several,404
31,much,401
32,big,391
33,false,387
34,potential,385
35,united,381
36,good,378
37,next,374
38,legal,369
39,true,364
40,likely,351
41,t,351
42,old,334
43,top,319
44,real,313
45,latest,312
46,official,303
47,iowa,303
48,federal,300
49,florida,300
50,jewish,288
51,gop,286
52,congressional,275
53,ukraine,274
54,clear,250
55,criminal,245
56,link,241
57,red,239
58,major,232
59,endorsement,228
60,ready,228
61,mr,220
62,early,220
63,strong,218
64,successful,215
65,free,213
66,important,212
67,possible,206
68,primary,203
69,open,202
70,thursday,200
71,subpoena,197
72,special,196
73,fox,195
74,glorious,195
75,final,193
76,personal,190
77,america,187
78,different,186
79,safe,186
80,least,184
81,late,180
82,popular,179
83,multiple,177
84,biggest,177
85,future,176
86,newsweek,176
87,best,175
88,human,172
89,young,169
90,local,168
91,window,168
92,full,167
93,launch,165
94,bad,163
95,key,161
96,nov,161
97,total,160
98,wrong,157
99,private,157
