,adjective,count
0,new,10490
1,gun,9209
2,federal,4608
3,public,4420
4,u,3969
5,firearm,3960
6,second,3624
7,right,3467
8,american,3461
9,last,3287
10,red,3121
11,many,3084
12,high,3018
13,republican,2920
14,supreme,2644
15,local,2217
16,old,2187
17,s,2052
18,legal,2011
19,national,1995
20,link,1960
21,first,1883
22,united,1826
23,least,1560
24,criminal,1559
25,political,1548
26,constitutional,1543
27,recent,1538
28,individual,1502
29,general,1459
30,several,1448
31,safe,1336
32,mental,1261
33,latest,1216
34,uvalde,1204
35,good,1182
36,social,1147
37,former,1146
38,able,1138
39,similar,1128
40,white,1066
41,black,1041
42,likely,1036
43,dangerous,1024
44,t,996
45,common,976
46,important,961
47,large,953
48,democratic,947
49,much,944
50,next,942
51,top,942
52,automatic,936
53,domestic,934
54,carry,930
55,dead,923
56,elementary,875
57,different,870
58,little,858
59,clear,851
60,major,845
61,unconstitutional,843
62,multiple,831
63,private,825
64,long,801
65,third,778
66,tuesday,767
67,military,766
68,young,757
69,handgun,756
70,certain,745
71,free,741
72,significant,703
73,bipartisan,703
74,open,690
75,strict,681
76,higher,678
77,violent,672
78,due,670
79,possible,665
80,legislative,664
81,historical,663
82,citizen,657
83,illegal,643
84,real,634
85,highest,619
86,difficult,616
87,personal,614
88,current,611
89,sheriff,611
90,biden,601
91,texas,598
92,aldrich,586
93,best,583
94,senate,581
95,additional,576
96,sure,571
97,early,568
98,official,565
99,shot,552
