,adjective,count
0,uk,32871
1,european,15628
2,eu,14855
3,northern,13542
4,new,12188
5,british,10931
6,prime,7462
7,good,7381
8,last,7182
9,economic,6090
10,many,5696
11,u,5678
12,free,5349
13,irish,4764
14,political,4699
15,conservative,4423
16,former,4169
17,single,4080
18,right,3533
19,first,3480
20,national,3476
21,international,3293
22,next,3182
23,un,3173
24,public,3080
25,united,2878
26,foreign,2831
27,financial,2830
28,due,2803
29,much,2776
30,important,2529
31,independent,2506
32,common,2489
33,clear,2419
34,long,2380
35,hard,2353
36,able,2271
37,french,2250
38,great,2244
39,brexit,2226
40,high,2224
41,full,2218
42,global,2198
43,labour,2187
44,major,2159
45,january,2156
46,latest,2100
47,possible,2088
48,legal,2086
49,recent,2085
50,future,2009
51,second,1971
52,pandemic,1970
53,swiss,1943
54,social,1917
55,different,1914
56,open,1906
57,significant,1890
58,general,1872
59,key,1762
60,least,1724
61,current,1719
62,big,1717
63,le,1658
64,several,1621
65,top,1620
66,chief,1620
67,third,1611
68,t,1602
69,democratic,1580
70,biggest,1579
71,ukraine,1549
72,best,1518
73,real,1512
74,small,1494
75,unionist,1494
76,una,1484
77,local,1475
78,difficult,1471
79,red,1441
80,little,1438
81,london,1411
82,mean,1408
83,articleshare,1389
84,official,1385
85,likely,1376
86,old,1368
87,friday,1363
88,agree,1339
89,higher,1295
90,live,1280
91,potential,1279
92,ue,1268
93,main,1263
94,daily,1263
95,whole,1237
96,thursday,1229
97,senior,1225
98,extra,1200
99,low,1200
