,adjective,count
0,chinese,10721
1,taiwan,9574
2,military,8901
3,u,7578
4,china,6014
5,s,4651
6,united,4028
7,new,3469
8,ukraine,3265
9,global,3094
10,economic,3036
11,national,2894
12,nuclear,2601
13,foreign,2472
14,last,2457
15,american,2439
16,biden,2392
17,taiwanese,2299
18,international,2293
19,political,1971
20,white,1967
21,strategic,1724
22,many,1719
23,official,1715
24,recent,1539
25,south,1443
26,important,1421
27,communist,1368
28,xi,1315
29,third,1277
30,right,1275
31,russian,1272
32,senior,1246
33,former,1239
34,local,1198
35,major,1193
36,first,1174
37,clear,1172
38,public,1147
39,next,1130
40,high,1096
41,full,994
42,western,984
43,pacific,979
44,long,969
45,democratic,959
46,top,954
47,diplomatic,934
48,potential,918
49,much,912
50,link,876
51,possible,872
52,republic,861
53,key,832
54,likely,801
55,largest,799
56,open,795
57,north,790
58,regional,782
59,latest,779
60,aggressive,770
61,asian,765
62,human,741
63,large,740
64,good,738
65,japanese,705
66,taipei,695
67,future,688
68,second,685
69,coercive,661
70,russia,653
71,general,652
72,navy,649
73,ballistic,639
74,current,636
75,necessary,633
76,domestic,631
77,cold,626
78,pelosi,623
79,free,617
80,several,617
81,great,611
82,critical,611
83,peaceful,600
84,uk,593
85,civil,588
86,able,579
87,different,579
88,direct,575
89,central,567
90,west,566
91,joint,566
92,naval,549
93,red,545
94,least,534
95,strong,529
96,bilateral,523
97,social,519
98,east,517
99,philippine,510
