,adjective,count
0,covid,1427
1,new,951
2,medical,725
3,vaccine,638
4,public,606
5,military,582
6,pandemic,543
7,national,476
8,last,443
9,many,429
10,republican,382
11,available,369
12,american,361
13,effective,348
14,older,342
15,severe,312
16,white,302
17,low,286
18,important,276
19,link,267
20,third,259
21,anti,258
22,least,257
23,u,256
24,s,256
25,dose,252
26,likely,251
27,religious,238
28,due,234
29,recent,232
30,chinese,231
31,second,227
32,long,224
33,individual,223
34,high,214
35,higher,212
36,next,211
37,clinical,205
38,first,205
39,flu,201
40,latest,200
41,good,195
42,clinic,195
43,human,195
44,infectious,192
45,patient,192
46,possible,191
47,able,188
48,primary,187
49,elderly,182
50,immune,181
51,current,178
52,eligible,175
53,several,173
54,right,173
55,biden,171
56,variant,170
57,social,167
58,vaccinated,162
59,lower,162
60,federal,161
61,early,158
62,shot,156
63,old,154
64,different,153
65,general,151
66,much,147
67,major,146
68,unvaccinated,145
69,updated,145
70,global,141
71,safe,140
72,potential,138
73,former,136
74,united,136
75,mrna,132
76,significant,131
77,china,131
78,young,130
79,child,128
80,additional,128
81,local,127
82,original,126
83,physical,124
84,previous,122
85,full,120
86,serious,119
87,political,119
88,official,117
89,senate,113
90,scientific,109
91,saturday,103
92,vulnerable,102
93,free,102
94,clear,99
95,international,98
96,annual,97
97,late,97
98,similar,96
99,tuesday,95
