,adjective,count
0,covid,24881
1,new,22061
2,pandemic,10214
3,public,10106
4,last,9205
5,many,8077
6,medical,7375
7,high,6632
8,available,5680
9,global,5584
10,positive,5466
11,chinese,5442
12,u,4896
13,national,4623
14,local,4601
15,first,4594
16,severe,4557
17,latest,4462
18,patient,4243
19,long,4169
20,s,4133
21,american,4121
22,recent,3982
23,social,3921
24,due,3874
25,lockdown,3792
26,individual,3715
27,early,3557
28,major,3474
29,daily,3468
30,federal,3466
31,variant,3454
32,higher,3407
33,likely,3382
34,low,3376
35,important,3370
36,older,3276
37,least,3275
38,second,3266
39,free,3202
40,white,3125
41,link,3078
42,china,3058
43,current,3033
44,old,3021
45,economic,3011
46,previous,3001
47,next,2936
48,official,2875
49,total,2847
50,different,2813
51,vaccine,2801
52,clinical,2625
53,possible,2603
54,several,2578
55,additional,2562
56,symptom,2544
57,full,2542
58,effective,2501
59,third,2490
60,good,2453
61,united,2414
62,general,2372
63,able,2331
64,tuesday,2315
65,much,2295
66,human,2290
67,infectious,2285
68,primary,2255
69,international,2253
70,central,2224
71,resident,2208
72,eligible,2206
73,top,2179
74,lower,2137
75,large,2102
76,largest,2099
77,significant,2093
78,common,2092
79,immune,2045
80,safe,2038
81,similar,2035
82,sick,2033
83,best,2017
84,monday,2010
85,dose,1949
86,average,1928
87,original,1918
88,right,1912
89,small,1901
90,open,1891
91,negative,1884
92,financial,1881
93,child,1874
94,key,1859
95,biggest,1796
96,potential,1788
97,senior,1783
98,serious,1747
99,thursday,1740
