,adjective,count
0,new,1768
1,right,1692
2,republican,1329
3,social,1219
4,former,1192
5,political,1158
6,last,1049
7,many,976
8,u,822
9,old,769
10,real,758
11,hillary,757
12,white,739
13,child,729
14,american,725
15,democratic,723
16,theory,709
17,much,660
18,pong,616
19,public,612
20,first,608
21,false,606
22,conservative,594
23,daily,590
24,un,568
25,pizzagate,543
26,national,491
27,t,488
28,newsweek,468
29,fake,457
30,true,452
31,presidential,449
32,alex,443
33,recent,441
34,several,439
35,online,438
36,big,433
37,free,429
38,anti,421
39,local,421
40,high,417
41,full,414
42,trump,408
43,united,404
44,human,383
45,good,376
46,next,368
47,january,365
48,federal,362
49,least,337
50,third,336
51,qanon,332
52,able,326
53,north,325
54,narrative,320
55,popular,319
56,deep,315
57,red,305
58,individual,301
59,late,300
60,una,298
61,little,284
62,website,282
63,possible,277
64,different,276
65,satanic,270
66,similar,269
67,great,262
68,secret,259
69,early,258
70,s,249
71,donald,245
72,tuesday,245
73,wrong,244
74,general,242
75,second,241
76,suspect,239
77,open,237
78,clear,237
79,whole,235
80,sexual,235
81,latest,234
82,fox,231
83,jewish,231
84,multiple,230
85,content,230
86,arizona,229
87,november,228
88,important,227
89,black,226
90,top,225
91,hammer,224
92,personal,223
93,le,223
94,best,221
95,hard,221
96,liberal,219
97,user,216
98,theorist,215
99,dangerous,214
