,adjective,count
0,russian,13974
1,ukraine,10371
2,ukrainian,5758
3,military,3262
4,nuclear,2454
5,russia,2325
6,new,1910
7,last,1684
8,foreign,1580
9,european,1355
10,u,1321
11,western,1209
12,united,1187
13,international,1157
14,civilian,1121
15,many,934
16,link,914
17,general,850
18,s,839
19,national,788
20,newsweek,712
21,recent,708
22,eastern,698
23,first,696
24,former,695
25,february,688
26,several,683
27,southern,681
28,west,671
29,political,668
30,high,653
31,possible,622
32,latest,616
33,black,581
34,important,567
35,soviet,557
36,likely,541
37,moscow,540
38,thursday,539
39,major,529
40,official,528
41,due,525
42,top,506
43,next,505
44,critical,496
45,global,494
46,american,493
47,much,489
48,full,482
49,long,476
50,able,475
51,wednesday,469
52,chinese,458
53,biden,458
54,french,455
55,un,452
56,putin,446
57,special,432
58,north,429
59,public,427
60,old,422
61,front,420
62,sunday,419
63,local,417
64,monday,416
65,economic,415
66,early,414
67,regional,406
68,right,389
69,least,386
70,central,384
71,large,380
72,good,372
73,south,372
74,strategic,372
75,key,370
76,nato,369
77,current,365
78,kyiv,365
79,soldier,355
80,prime,351
81,german,348
82,east,347
83,british,345
84,open,344
85,territory,344
86,n,340
87,little,340
88,free,339
89,social,335
90,polish,335
91,largest,332
92,significant,332
93,heavy,328
94,ready,325
95,cold,320
96,human,319
97,offensive,317
98,white,316
99,senior,315
