,2-gram,count
0,"('electric', 'vehicle')",22205
1,"('electric', 'car')",6767
2,"('charging', 'station')",3466
3,"('may', 'earn')",2246
4,"('earn', 'affiliate')",2225
5,"('affiliate', 'commission')",2225
6,"('commission', 'purchase')",2224
7,"('purchase', 'something')",2223
8,"('something', 'recommended')",2222
9,"('recommended', 'link')",2222
10,"('link', 'article')",1868
11,"('plug', 'in')",1851
12,"('microsoft', 'may')",1834
13,"('tax', 'credit')",1650
14,"('vehicle', 'ev')",1581
15,"('gas', 'powered')",1519
16,"('in', 'hybrid')",1343
17,"('charging', 'infrastructure')",1272
18,"('united', 'state')",1254
19,"('vehicle', 'charging')",1214
20,"('ev', 'charging')",1213
21,"('the', 'company')",1199
22,"('internal', 'combustion')",1192
23,"('vehicle', 'market')",1169
24,"('ev', 'battery')",1112
25,"('combustion', 'engine')",1054
26,"('all', 'electric')",1054
27,"('zero', 'emission')",1005
28,"('powered', 'car')",996
29,"('electric', 'motor')",996
30,"('last', 'year')",984
31,"('per', 'cent')",981
32,"('battery', 'electric')",978
33,"('powered', 'vehicle')",956
34,"('lithium', 'ion')",943
35,"('next', 'year')",910
36,"('battery', 'pack')",902
37,"('ion', 'battery')",876
38,"('north', 'america')",862
39,"('supply', 'chain')",857
40,"('climate', 'change')",831
41,"('tesla', 'model')",806
42,"('fossil', 'fuel')",791
43,"('new', 'car')",787
44,"('vehicle', 'the')",779
45,"('said', 'the')",755
46,"('inflation', 'reduction')",746
47,"('reduction', 'act')",746
48,"('ev', 'market')",728
49,"('hybrid', 'electric')",725
50,"('vehicle', 'battery')",663
51,"('fully', 'electric')",653
52,"('vehicle', 'sale')",627
53,"('new', 'vehicle')",626
54,"('http', 'www')",622
55,"('new', 'electric')",617
56,"('market', 'share')",616
57,"('consumer', 'report')",606
58,"('greenhouse', 'gas')",597
59,"('range', 'mile')",592
60,"('fast', 'charging')",588
61,"('it', 'also')",588
62,"('hybrid', 'vehicle')",566
63,"('new', 'york')",559
64,"('auto', 'industry')",557
65,"('in', 'addition')",554
66,"('utility', 'vehicle')",554
67,"('public', 'charging')",552
68,"('ev', 'sale')",549
69,"('general', 'motor')",547
70,"('long', 'term')",547
71,"('five', 'year')",545
72,"('charge', 'electric')",533
73,"('driving', 'range')",510
74,"('vehicle', 'charger')",509
75,"('we', 're')",506
76,"('charging', 'network')",501
77,"('the', 'electric')",500
78,"('new', 'ev')",496
79,"('carbon', 'emission')",494
80,"('commercial', 'vehicle')",490
81,"('car', 'truck')",488
82,"('mile', 'range')",485
83,"('emission', 'vehicle')",484
84,"('petrol', 'diesel')",482
85,"('re', 'going')",478
86,"('year', 'the')",475
87,"('year', 'ago')",471
88,"('los', 'angeles')",468
89,"('ev', 'charger')",467
90,"('automotive', 'industry')",453
91,"('vehicle', 'electric')",444
92,"('the', 'new')",444
93,"('hybrid', 'car')",438
94,"('ev', 'owner')",434
95,"('for', 'example')",423
96,"('global', 'electric')",419
97,"('three', 'year')",413
98,"('ev', 'adoption')",412
99,"('market', 'electric')",411
