,2-gram,count
0,"('emission', 'trading')",2368
1,"('carbon', 'market')",2311
2,"('climate', 'change')",2199
3,"('carbon', 'credit')",1833
4,"('greenhouse', 'gas')",1697
5,"('trading', 'scheme')",1499
6,"('emission', 'reduction')",1178
7,"('carbon', 'emission')",1126
8,"('net', 'zero')",1069
9,"('eu', 'ets')",1005
10,"('fossil', 'fuel')",999
11,"('carbon', 'trading')",951
12,"('gas', 'emission')",931
13,"('carbon', 'dioxide')",869
14,"('renewable', 'energy')",812
15,"('trading', 'system')",788
16,"('uk', 'ets')",694
17,"('european', 'union')",685
18,"('carbon', 'price')",662
19,"('reduce', 'emission')",649
20,"('member', 'state')",639
21,"('emission', 'allowance')",567
22,"('carbon', 'pricing')",559
23,"('carbon', 'offset')",553
24,"('european', 'commission')",550
25,"('paris', 'agreement')",526
26,"('european', 'parliament')",510
27,"('last', 'year')",493
28,"('power', 'plant')",458
29,"('new', 'zealand')",458
30,"('control', 'system')",457
31,"('emission', 'control')",456
32,"('zero', 'emission')",446
33,"('carbon', 'tax')",426
34,"('eu', 'emission')",420
35,"('per', 'cent')",417
36,"('long', 'term')",415
37,"('system', 'market')",413
38,"('scheme', 'ets')",384
39,"('low', 'carbon')",377
40,"('the', 'european')",367
41,"('voluntary', 'carbon')",359
42,"('the', 'eu')",354
43,"('cap', 'and')",353
44,"('said', 'the')",353
45,"('developing', 'country')",352
46,"('the', 'government')",344
47,"('united', 'nation')",340
48,"('ghg', 'emission')",337
49,"('and', 'trade')",333
50,"('emission', 'the')",333
51,"('climate', 'action')",328
52,"('oil', 'gas')",328
53,"('carbon', 'neutrality')",318
54,"('electric', 'vehicle')",317
55,"('global', 'carbon')",317
56,"('clean', 'energy')",314
57,"('climate', 'policy')",313
58,"('next', 'year')",312
59,"('credit', 'trading')",304
60,"('tonne', 'carbon')",304
61,"('national', 'ets')",303
62,"('natural', 'gas')",294
63,"('emission', 'tomography')",292
64,"('tomography', 'pet')",292
65,"('pet', 'system')",292
66,"('per', 'tonne')",291
67,"('positron', 'emission')",290
68,"('http', 'www')",282
69,"('world', 'largest')",276
70,"('supply', 'chain')",272
71,"('cap', 'trade')",270
72,"('global', 'warming')",263
73,"('million', 'tonne')",262
74,"('uk', 'emission')",262
75,"('twitter', 'linkedin')",261
76,"('energy', 'transition')",261
77,"('emission', 'measurement')",261
78,"('carbon', 'allowance')",259
79,"('facebook', 'twitter')",258
80,"('trading', 'market')",258
81,"('measurement', 'system')",257
82,"('email', 'facebook')",254
83,"('linkedin', 'whatsapp')",254
84,"('energy', 'efficiency')",254
85,"('may', 'earn')",254
86,"('earn', 'affiliate')",254
87,"('affiliate', 'commission')",254
88,"('commission', 'purchase')",254
89,"('purchase', 'something')",254
90,"('something', 'recommended')",254
91,"('recommended', 'link')",254
92,"('united', 'state')",247
93,"('loss', 'damage')",247
94,"('the', 'uk')",245
95,"('automotive', 'emission')",244
96,"('eu', 'member')",243
97,"('cut', 'emission')",241
98,"('thomson', 'reuters')",239
99,"('in', 'addition')",238
