,2-gram,count
0,"('northern', 'ireland')",12736
1,"('prime', 'minister')",7387
2,"('european', 'union')",5397
3,"('boris', 'johnson')",4519
4,"('post', 'brexit')",3714
5,"('per', 'cent')",3539
6,"('single', 'market')",3507
7,"('trade', 'deal')",3182
8,"('the', 'uk')",2774
9,"('uk', 'eu')",2559
10,"('united', 'kingdom')",2204
11,"('share', 'articleshare')",2126
12,"('ireland', 'protocol')",2089
13,"('brexit', 'deal')",2065
14,"('uk', 'government')",2016
15,"('last', 'week')",1945
16,"('said', 'the')",1911
17,"('no', 'deal')",1886
18,"('may', 'earn')",1781
19,"('earn', 'affiliate')",1780
20,"('affiliate', 'commission')",1780
21,"('commission', 'purchase')",1780
22,"('purchase', 'something')",1780
23,"('something', 'recommended')",1780
24,"('recommended', 'link')",1780
25,"('the', 'eu')",1760
26,"('european', 'commission')",1720
27,"('eu', 'uk')",1719
28,"('transition', 'period')",1641
29,"('he', 'said')",1591
30,"('last', 'year')",1589
31,"('rishi', 'sunak')",1579
32,"('theresa', 'may')",1574
33,"('british', 'government')",1554
34,"('microsoft', 'may')",1539
35,"('withdrawal', 'agreement')",1492
36,"('member', 'state')",1446
37,"('the', 'government')",1415
38,"('liz', 'truss')",1319
39,"('custom', 'union')",1317
40,"('leave', 'eu')",1286
41,"('brexit', 'trade')",1276
42,"('free', 'trade')",1274
43,"('swiss', 'style')",1255
44,"('conservative', 'party')",1250
45,"('de', 'la')",1225
46,"('eu', 'law')",1213
47,"('told', 'euronews')",1170
48,"('long', 'term')",1144
49,"('deal', 'brexit')",1141
50,"('eu', 'country')",1123
51,"('eu', 'single')",1117
52,"('european', 'parliament')",1115
53,"('jeremy', 'hunt')",1095
54,"('minister', 'boris')",1093
55,"('leaving', 'eu')",1082
56,"('trade', 'agreement')",1058
57,"('michel', 'barnier')",1043
58,"('von', 'der')",1025
59,"('great', 'britain')",1019
60,"('bank', 'england')",998
61,"('der', 'leyen')",985
62,"('uk', 'economy')",961
63,"('downing', 'street')",943
64,"('eu', 'rule')",939
65,"('next', 'year')",938
66,"('two', 'year')",922
67,"('last', 'month')",919
68,"('irish', 'sea')",906
69,"('the', 'british')",893
70,"('eu', 'member')",890
71,"('the', 'european')",872
72,"('house', 'common')",860
73,"('eu', 'citizen')",859
74,"('deal', 'eu')",858
75,"('free', 'movement')",857
76,"('said', 'would')",848
77,"('hard', 'border')",847
78,"('red', 'tape')",814
79,"('trade', 'barrier')",813
80,"('divorce', 'deal')",800
81,"('so', 'called')",788
82,"('uk', 'trade')",788
83,"('said', 'we')",786
84,"('year', 'ago')",784
85,"('he', 'added')",779
86,"('eu', 'would')",775
87,"('good', 'friday')",772
88,"('general', 'election')",742
89,"('regno', 'unito')",737
90,"('privacy', 'policy')",735
91,"('year', 'old')",734
92,"('two', 'side')",733
93,"('britain', 'northern')",710
94,"('relationship', 'eu')",695
95,"('sign', 'up')",689
96,"('year', 'the')",688
97,"('climate', 'change')",684
98,"('freedom', 'movement')",671
99,"('friday', 'agreement')",670
