,2-gram,count
0,"('united', 'state')",4012
1,"('xi', 'jinping')",2437
2,"('white', 'house')",1736
3,"('taiwan', 'strait')",1720
4,"('president', 'xi')",1505
5,"('communist', 'party')",1421
6,"('china', 'taiwan')",1412
7,"('nancy', 'pelosi')",1303
8,"('biden', 'said')",1146
9,"('speaker', 'nancy')",1109
10,"('china', 'policy')",1098
11,"('one', 'china')",1096
12,"('joe', 'biden')",1058
13,"('may', 'earn')",1054
14,"('earn', 'affiliate')",1052
15,"('affiliate', 'commission')",1052
16,"('commission', 'purchase')",1052
17,"('purchase', 'something')",1052
18,"('something', 'recommended')",1052
19,"('recommended', 'link')",1052
20,"('hong', 'kong')",1031
21,"('national', 'security')",1030
22,"('house', 'speaker')",1029
23,"('republic', 'china')",971
24,"('link', 'article')",937
25,"('south', 'china')",916
26,"('microsoft', 'may')",881
27,"('president', 'joe')",879
28,"('chinese', 'president')",873
29,"('indo', 'pacific')",845
30,"('china', 'sea')",826
31,"('taiwan', 'china')",807
32,"('china', 'relation')",800
33,"('climate', 'change')",791
34,"('people', 'republic')",758
35,"('nuclear', 'weapon')",756
36,"('said', 'china')",747
37,"('people', 'liberation')",738
38,"('liberation', 'army')",734
39,"('house', 'said')",721
40,"('biden', 'administration')",709
41,"('war', 'ukraine')",700
42,"('chinese', 'communist')",683
43,"('human', 'right')",681
44,"('tsai', 'ing')",658
45,"('ing', 'wen')",658
46,"('official', 'said')",657
47,"('toward', 'taiwan')",647
48,"('chinese', 'military')",646
49,"('china', 'would')",640
50,"('north', 'korea')",637
51,"('supply', 'chain')",631
52,"('pelosi', 'visit')",630
53,"('cold', 'war')",627
54,"('president', 'tsai')",621
55,"('said', 'the')",615
56,"('last', 'month')",613
57,"('ballistic', 'missile')",613
58,"('use', 'force')",595
59,"('invasion', 'ukraine')",585
60,"('president', 'biden')",575
61,"('visit', 'taiwan')",574
62,"('last', 'year')",571
63,"('biden', 'xi')",565
64,"('status', 'quo')",557
65,"('secretary', 'state')",540
66,"('party', 'congress')",534
67,"('two', 'country')",527
68,"('five', 'year')",525
69,"('cross', 'strait')",524
70,"('invade', 'taiwan')",524
71,"('chinese', 'official')",519
72,"('across', 'taiwan')",509
73,"('foreign', 'policy')",493
74,"('part', 'china')",490
75,"('chinese', 'leader')",489
76,"('peace', 'stability')",488
77,"('action', 'toward')",479
78,"('last', 'week')",472
79,"('two', 'side')",470
80,"('defend', 'taiwan')",469
81,"('prime', 'minister')",460
82,"('war', 'china')",459
83,"('south', 'korea')",457
84,"('military', 'exercise')",455
85,"('chinese', 'invasion')",454
86,"('mainland', 'china')",451
87,"('told', 'reporter')",451
88,"('aggressive', 'action')",449
89,"('said', 'biden')",448
90,"('taiwan', 'would')",445
91,"('red', 'line')",445
92,"('strategic', 'ambiguity')",442
93,"('around', 'world')",439
94,"('the', 'chinese')",436
95,"('third', 'term')",434
96,"('war', 'game')",434
97,"('increasingly', 'aggressive')",427
98,"('manage', 'difference')",423
99,"('the', 'united')",420
