,2-gram,count
0,"('public', 'health')",5711
1,"('monkeypox', 'virus')",3344
2,"('monkeypox', 'case')",3001
3,"('sex', 'men')",2122
4,"('men', 'sex')",2060
5,"('disease', 'control')",1939
6,"('health', 'official')",1924
7,"('case', 'monkeypox')",1842
8,"('center', 'disease')",1773
9,"('control', 'prevention')",1767
10,"('united', 'state')",1641
11,"('monkeypox', 'outbreak')",1631
12,"('monkeypox', 'vaccine')",1433
13,"('world', 'health')",1372
14,"('health', 'organization')",1354
15,"('infectious', 'disease')",1351
16,"('health', 'department')",1328
17,"('health', 'care')",1296
18,"('news', 'medical')",1276
19,"('health', 'emergency')",1184
20,"('close', 'contact')",1135
21,"('new', 'york')",1127
22,"('case', 'reported')",1114
23,"('current', 'outbreak')",1075
24,"('high', 'risk')",1075
25,"('monkeypox', 'infection')",1070
26,"('monkeypox', 'spread')",1018
27,"('dialog', 'window')",972
28,"('department', 'health')",961
29,"('http', 'www')",880
30,"('gay', 'bisexual')",844
31,"('confirmed', 'case')",818
32,"('date', 'posted')",808
33,"('skin', 'contact')",795
34,"('sexual', 'contact')",782
35,"('care', 'provider')",781
36,"('according', 'cdc')",774
37,"('to', 'skin')",769
38,"('skin', 'to')",768
39,"('jynneos', 'vaccine')",760
40,"('bisexual', 'men')",744
41,"('lymph', 'node')",658
42,"('may', 'earn')",651
43,"('earn', 'affiliate')",651
44,"('affiliate', 'commission')",651
45,"('commission', 'purchase')",651
46,"('purchase', 'something')",651
47,"('something', 'recommended')",651
48,"('recommended', 'link')",651
49,"('said', 'the')",637
50,"('local', 'health')",628
51,"('the', 'cdc')",628
52,"('who', 'said')",626
53,"('outbreak', 'monkeypox')",622
54,"('sexually', 'transmitted')",616
55,"('link', 'article')",602
56,"('medical', 'net')",598
57,"('de', 'la')",577
58,"('state', 'health')",567
59,"('hour', 'hour')",566
60,"('white', 'house')",565
61,"('immune', 'system')",565
62,"('healthcare', 'provider')",565
63,"('new', 'case')",563
64,"('the', 'virus')",547
65,"('last', 'week')",539
66,"('according', 'center')",539
67,"('microsoft', 'may')",537
68,"('department', 'public')",528
69,"('the', 'who')",527
70,"('incubation', 'period')",522
71,"('posted', 'october')",520
72,"('swollen', 'lymph')",519
73,"('reported', 'case')",513
74,"('york', 'city')",511
75,"('official', 'said')",507
76,"('modal', 'window')",506
77,"('skin', 'lesion')",505
78,"('among', 'men')",503
79,"('prevention', 'cdc')",499
80,"('contact', 'tracing')",499
81,"('the', 'world')",492
82,"('symptom', 'monkeypox')",486
83,"('window', 'beginning')",486
84,"('beginning', 'dialog')",486
85,"('window', 'escape')",486
86,"('escape', 'cancel')",486
87,"('cancel', 'close')",486
88,"('close', 'window')",486
89,"('window', 'end')",486
90,"('end', 'dialog')",486
91,"('monkeypox', 'the')",482
92,"('case', 'per')",481
93,"('global', 'health')",475
94,"('www', 'news')",472
95,"('contributing', 'factor')",470
96,"('year', 'old')",469
97,"('virus', 'spread')",462
98,"('pre', 'symptomatic')",462
99,"('flu', 'like')",457
