,3-gram,count
0,"('greenhouse', 'gas', 'emission')",1439
1,"('hour', 'hour', 'hour')",1352
2,"('impact', 'climate', 'change')",1257
3,"('may', 'earn', 'affiliate')",1239
4,"('earn', 'affiliate', 'commission')",1239
5,"('affiliate', 'commission', 'purchase')",1239
6,"('commission', 'purchase', 'something')",1239
7,"('purchase', 'something', 'recommended')",1239
8,"('something', 'recommended', 'link')",1239
9,"('effect', 'climate', 'change')",991
10,"('microsoft', 'may', 'earn')",986
11,"('recommended', 'link', 'article')",978
12,"('sharm', 'el', 'sheikh')",973
13,"('extreme', 'weather', 'event')",674
14,"('climate', 'change', 'the')",613
15,"('sea', 'level', 'rise')",559
16,"('loss', 'damage', 'fund')",512
17,"('el', 'sheikh', 'egypt')",473
18,"('inflation', 'reduction', 'act')",452
19,"('rising', 'sea', 'level')",428
20,"('climate', 'change', 'conference')",423
21,"('climate', 'change', 'impact')",349
22,"('panel', 'climate', 'change')",338
23,"('intergovernmental', 'panel', 'climate')",309
24,"('united', 'nation', 'climate')",303
25,"('fight', 'climate', 'change')",285
26,"('burning', 'fossil', 'fuel')",264
27,"('due', 'climate', 'change')",258
28,"('reduce', 'greenhouse', 'gas')",235
29,"('address', 'climate', 'change')",230
30,"('caused', 'climate', 'change')",223
31,"('tackle', 'climate', 'change')",221
32,"('climate', 'change', 'mitigation')",216
33,"('net', 'zero', 'emission')",214
34,"('climate', 'change', 'also')",210
35,"('president', 'joe', 'biden')",210
36,"('framework', 'convention', 'climate')",209
37,"('convention', 'climate', 'change')",209
38,"('climate', 'change', 'said')",207
39,"('nation', 'climate', 'change')",190
40,"('climate', 'change', 'health')",190
41,"('carbon', 'dioxide', 'emission')",187
42,"('climate', 'change', 'this')",186
43,"('pre', 'industrial', 'level')",186
44,"('said', 'climate', 'change')",183
45,"('warming', 'degree', 'celsius')",183
46,"('climate', 'change', 'but')",183
47,"('global', 'climate', 'change')",179
48,"('nature', 'based', 'solution')",174
49,"('global', 'temperature', 'rise')",173
50,"('action', 'climate', 'change')",173
51,"('carbon', 'dioxide', 'atmosphere')",173
52,"('adapt', 'climate', 'change')",166
53,"('secretary', 'general', 'antónio')",158
54,"('general', 'antónio', 'guterres')",158
55,"('say', 'climate', 'change')",155
56,"('climate', 'change', 'related')",155
57,"('phase', 'fossil', 'fuel')",153
58,"('worried', 'global', 'warming')",149
59,"('pic', 'twitter', 'com')",147
60,"('climate', 'action', 'plan')",145
61,"('link', 'article', 'the')",144
62,"('global', 'warming', 'degree')",142
63,"('new', 'york', 'time')",141
64,"('response', 'climate', 'change')",141
65,"('climate', 'change', 'already')",140
66,"('united', 'nation', 'framework')",140
67,"('vulnerable', 'climate', 'change')",140
68,"('reducing', 'greenhouse', 'gas')",139
69,"('addressing', 'climate', 'change')",139
70,"('global', 'greenhouse', 'gas')",138
71,"('consequence', 'climate', 'change')",138
72,"('climate', 'change', 'it')",138
73,"('un', 'climate', 'change')",136
74,"('degree', 'celsius', 'degree')",135
75,"('climate', 'change', 'effect')",131
76,"('climate', 'change', 'adaptation')",130
77,"('the', 'united', 'state')",130
78,"('affected', 'climate', 'change')",129
79,"('climate', 'change', 'in')",127
80,"('limit', 'global', 'warming')",127
81,"('climate', 'change', 'may')",125
82,"('climate', 'change', 'could')",125
83,"('climate', 'change', 'ipcc')",123
84,"('achieve', 'net', 'zero')",123
85,"('climate', 'change', 'risk')",123
86,"('nation', 'framework', 'convention')",121
87,"('threat', 'climate', 'change')",120
88,"('address', 'global', 'warming')",120
89,"('combat', 'climate', 'change')",118
90,"('think', 'global', 'warming')",118
91,"('celsius', 'degree', 'fahrenheit')",115
92,"('global', 'warming', 'affecting')",115
93,"('climate', 'summit', 'egypt')",114
94,"('adverse', 'effect', 'climate')",113
95,"('concerned', 'climate', 'change')",113
96,"('transition', 'clean', 'energy')",112
97,"('related', 'climate', 'change')",112
98,"('nevada', 'average', 'agree')",112
99,"('average', 'agree', 'global')",112
