,4-gram,count
0,"('may', 'earn', 'affiliate', 'commission')",935
1,"('earn', 'affiliate', 'commission', 'purchase')",935
2,"('affiliate', 'commission', 'purchase', 'something')",935
3,"('commission', 'purchase', 'something', 'recommended')",935
4,"('purchase', 'something', 'recommended', 'link')",935
5,"('something', 'recommended', 'link', 'article')",816
6,"('microsoft', 'may', 'earn', 'affiliate')",727
7,"('russian', 'president', 'vladimir', 'putin')",656
8,"('ukrainian', 'president', 'volodymyr', 'zelenskyy')",374
9,"('zaporizhzhia', 'nuclear', 'power', 'plant')",373
10,"('international', 'atomic', 'energy', 'agency')",232
11,"('black', 'sea', 'grain', 'initiative')",178
12,"('ukrainian', 'president', 'volodymyr', 'zelensky')",172
13,"('automotive', 'acoustic', 'engineering', 'service')",146
14,"('high', 'performance', 'computing', 'service')",146
15,"('secretary', 'general', 'jens', 'stoltenberg')",141
16,"('serve', 'sponsorship', 'credit', 'message')",126
17,"('sponsorship', 'credit', 'message', 'website')",126
18,"('secretary', 'state', 'antony', 'blinken')",125
19,"('nato', 'secretary', 'general', 'jens')",120
20,"('president', 'volodymyr', 'zelenskiy', 'said')",119
21,"('prime', 'minister', 'rishi', 'sunak')",113
22,"('defense', 'minister', 'sergei', 'shoigu')",110
23,"('foreign', 'minister', 'sergei', 'lavrov')",108
24,"('kremlin', 'spokesman', 'dmitry', 'peskov')",108
25,"('president', 'volodymyr', 'zelenskyy', 'said')",107
26,"('acoustic', 'engineering', 'service', 'market')",106
27,"('von', 'der', 'leyen', 'said')",105
28,"('performance', 'computing', 'service', 'market')",103
29,"('military', 'vehicle', 'electrification', 'market')",97
30,"('ukraine', 'zaporizhzhia', 'nuclear', 'power')",95
31,"('ursula', 'von', 'der', 'leyen')",91
32,"('the', 'russian', 'defense', 'ministry')",91
33,"('foreign', 'minister', 'dmytro', 'kuleba')",90
34,"('russia', 'declared', 'intention', 'increase')",89
35,"('declared', 'intention', 'increase', 'targeting')",89
36,"('intention', 'increase', 'targeting', 'ukraine')",89
37,"('increase', 'targeting', 'ukraine', 'power')",89
38,"('targeting', 'ukraine', 'power', 'water')",89
39,"('ukraine', 'power', 'water', 'vital')",89
40,"('power', 'water', 'vital', 'infrastructure')",89
41,"('water', 'vital', 'infrastructure', 'latest')",89
42,"('vital', 'infrastructure', 'latest', 'phase')",89
43,"('infrastructure', 'latest', 'phase', 'nearly')",89
44,"('latest', 'phase', 'nearly', 'month')",89
45,"('phase', 'nearly', 'month', 'old')",89
46,"('nearly', 'month', 'old', 'war')",89
47,"('russian', 'defense', 'minister', 'sergei')",86
48,"('third', 'party', 'vendor', 'use')",83
49,"('party', 'vendor', 'use', 'cooky')",83
50,"('full', 'scale', 'invasion', 'ukraine')",81
51,"('recommended', 'link', 'article', 'nov')",77
52,"('defense', 'secretary', 'lloyd', 'austin')",75
53,"('atomic', 'energy', 'agency', 'iaea')",73
54,"('use', 'dirty', 'bomb', 'territory')",73
55,"('cooky', 'necessary', 'website', 'function')",72
56,"('necessary', 'website', 'function', 'switched')",72
57,"('website', 'function', 'switched', 'system')",72
58,"('you', 'set', 'browser', 'block')",72
59,"('set', 'browser', 'block', 'alert')",72
60,"('browser', 'block', 'alert', 'cooky')",72
61,"('block', 'alert', 'cooky', 'part')",72
62,"('alert', 'cooky', 'part', 'site')",72
63,"('cooky', 'part', 'site', 'work')",72
64,"('oct', 'russia', 'declared', 'intention')",72
65,"('unlimited', 'newsweek', 'trialmicrosoft', 'may')",72
66,"('newsweek', 'trialmicrosoft', 'may', 'earn')",72
67,"('trialmicrosoft', 'may', 'earn', 'affiliate')",72
68,"('function', 'switched', 'system', 'they')",71
69,"('switched', 'system', 'they', 'usually')",71
70,"('system', 'they', 'usually', 'set')",71
71,"('they', 'usually', 'set', 'response')",71
72,"('usually', 'set', 'response', 'action')",71
73,"('set', 'response', 'action', 'made')",71
74,"('response', 'action', 'made', 'amount')",71
75,"('action', 'made', 'amount', 'request')",71
76,"('made', 'amount', 'request', 'service')",71
77,"('amount', 'request', 'service', 'setting')",71
78,"('request', 'service', 'setting', 'privacy')",71
79,"('service', 'setting', 'privacy', 'preference')",71
80,"('setting', 'privacy', 'preference', 'logging')",71
81,"('privacy', 'preference', 'logging', 'filling')",71
82,"('preference', 'logging', 'filling', 'form')",71
83,"('logging', 'filling', 'form', 'you')",71
84,"('filling', 'form', 'you', 'set')",71
85,"('form', 'you', 'set', 'browser')",71
86,"('ukrainian', 'president', 'volodymyr', 'zelenskiy')",70
87,"('they', 'may', 'set', 'third')",70
88,"('may', 'set', 'third', 'party')",70
89,"('set', 'third', 'party', 'provider')",70
90,"('third', 'party', 'provider', 'whose')",70
91,"('party', 'provider', 'whose', 'service')",70
92,"('provider', 'whose', 'service', 'added')",70
93,"('whose', 'service', 'added', 'page')",70
94,"('service', 'added', 'page', 'if')",70
95,"('added', 'page', 'if', 'allow')",70
96,"('page', 'if', 'allow', 'cooky')",70
97,"('if', 'allow', 'cooky', 'service')",70
98,"('allow', 'cooky', 'service', 'may')",70
99,"('cooky', 'service', 'may', 'function')",70
