,4-gram,count
0,"('may', 'earn', 'affiliate', 'commission')",363
1,"('earn', 'affiliate', 'commission', 'purchase')",362
2,"('affiliate', 'commission', 'purchase', 'something')",362
3,"('commission', 'purchase', 'something', 'recommended')",362
4,"('purchase', 'something', 'recommended', 'link')",362
5,"('something', 'recommended', 'link', 'article')",326
6,"('microsoft', 'may', 'earn', 'affiliate')",307
7,"('center', 'disease', 'control', 'prevention')",143
8,"('hour', 'hour', 'hour', 'hour')",86
9,"('national', 'defense', 'authorization', 'act')",63
10,"('the', 'center', 'disease', 'control')",46
11,"('military', 'covid', 'vaccine', 'mandate')",46
12,"('according', 'center', 'disease', 'control')",42
13,"('sen', 'rand', 'paul', 'ky')",41
14,"('restricted', 'use', 'emergency', 'situation')",35
15,"('use', 'emergency', 'situation', 'age')",35
16,"('disease', 'control', 'prevention', 'cdc')",33
17,"('department', 'health', 'human', 'service')",32
18,"('patch', 'microsoft', 'may', 'earn')",31
19,"('the', 'anti', 'vaccination', 'movement')",31
20,"('sars', 'cov', 'spike', 'protein')",30
21,"('http', 'www', 'news', 'medical')",30
22,"('www', 'news', 'medical', 'net')",30
23,"('respiratory', 'syncytial', 'virus', 'rsv')",29
24,"('three', 'covid', 'vaccine', 'do')",28
25,"('news', 'medical', 'net', 'news')",28
26,"('te', 'aka', 'whai', 'o')",28
27,"('recommended', 'link', 'article', 'the')",28
28,"('minority', 'leader', 'kevin', 'mccarthy')",28
29,"('leader', 'mccarthy', 'raised', 'president')",28
30,"('mccarthy', 'raised', 'president', 'president')",28
31,"('raised', 'president', 'president', 'told')",28
32,"('president', 'president', 'told', 'would')",28
33,"('president', 'told', 'would', 'consider')",28
34,"('the', 'secretary', 'defense', 'recommended')",28
35,"('secretary', 'defense', 'recommended', 'retaining')",28
36,"('defense', 'recommended', 'retaining', 'mandate')",28
37,"('recommended', 'retaining', 'mandate', 'president')",28
38,"('retaining', 'mandate', 'president', 'support')",28
39,"('mandate', 'president', 'support', 'position')",28
40,"('president', 'support', 'position', 'discussion')",28
41,"('support', 'position', 'discussion', 'ndaa')",28
42,"('position', 'discussion', 'ndaa', 'ongoing')",28
43,"('approval', 'restricted', 'use', 'emergency')",27
44,"('the', 'number', 'american', 'lost')",27
45,"('number', 'american', 'lost', 'life')",27
46,"('american', 'lost', 'life', 'refused')",27
47,"('lost', 'life', 'refused', 'covid')",27
48,"('life', 'refused', 'covid', 'vaccine')",27
49,"('refused', 'covid', 'vaccine', 'staggering')",27
50,"('it', 'greatest', 'self', 'immolation')",27
51,"('greatest', 'self', 'immolation', 'american')",27
52,"('self', 'immolation', 'american', 'history')",27
53,"('according', 'world', 'health', 'organization')",26
54,"('national', 'institute', 'allergy', 'infectious')",26
55,"('institute', 'allergy', 'infectious', 'disease')",26
56,"('majority', 'leader', 'chuck', 'schumer')",26
57,"('defense', 'authorization', 'act', 'ndaa')",26
58,"('authorization', 'act', 'ndaa', 'annual')",26
59,"('act', 'ndaa', 'annual', 'bill')",26
60,"('sars', 'cov', 'antibody', 'persist')",24
61,"('breast', 'milk', 'following', 'two')",24
62,"('lorraine', 'soup', 'kitchen', 'pantry')",24
63,"('the', 'arctic', 'winter', 'game')",24
64,"('received', 'approval', 'restricted', 'use')",24
65,"('world', 'first', 'intranasal', 'vaccine')",24
66,"('ছ', 'ত', 'রল', 'গ')",24
67,"('ত', 'রল', 'গ', 'র')",24
68,"('severe', 'acute', 'respiratory', 'syndrome')",23
69,"('covid', 'booster', 'flu', 'shot')",23
70,"('gotten', 'one', 'shot', 'received')",23
71,"('one', 'shot', 'received', 'booster')",23
72,"('chinese', 'president', 'xi', 'jinping')",22
73,"('creates', 'national', 'security', 'risk')",22
74,"('president', 'joe', 'biden', 'administration')",22
75,"('november', 'http', 'www', 'news')",21
76,"('national', 'health', 'commission', 'said')",21
77,"('sincerely', 'held', 'religious', 'belief')",21
78,"('approved', 'food', 'drug', 'administration')",21
79,"('california', 'national', 'primate', 'research')",21
80,"('food', 'drug', 'administration', 'fda')",20
81,"('host', 'covid', 'booster', 'flu')",20
82,"('chief', 'medical', 'officer', 'rawiri')",20
83,"('medical', 'officer', 'rawiri', 'mckree')",20
84,"('officer', 'rawiri', 'mckree', 'jansen')",20
85,"('chief', 'science', 'advisor', 'ian')",20
86,"('science', 'advisor', 'ian', 'town')",20
87,"('house', 'minority', 'leader', 'kevin')",20
88,"('two', 'three', 'covid', 'vaccine')",19
89,"('white', 'house', 'covid', 'response')",19
90,"('house', 'covid', 'response', 'coordinator')",19
91,"('contributed', 'report', 'microsoft', 'may')",19
92,"('report', 'microsoft', 'may', 'earn')",19
93,"('intensive', 'care', 'unit', 'admission')",19
94,"('conducted', 'safety', 'immunogenicity', 'subject')",19
95,"('elevated', 'level', 'physical', 'activity')",19
96,"('published', 'british', 'journal', 'sport')",19
97,"('british', 'journal', 'sport', 'medicine')",19
98,"('higher', 'dose', 'exercise', 'greater')",19
99,"('dose', 'exercise', 'greater', 'protective')",19
