,4-gram,count
0,"('may', 'earn', 'affiliate', 'commission')",1289
1,"('earn', 'affiliate', 'commission', 'purchase')",1289
2,"('affiliate', 'commission', 'purchase', 'something')",1289
3,"('commission', 'purchase', 'something', 'recommended')",1289
4,"('purchase', 'something', 'recommended', 'link')",1289
5,"('something', 'recommended', 'link', 'article')",1181
6,"('former', 'president', 'donald', 'trump')",998
7,"('microsoft', 'may', 'earn', 'affiliate')",734
8,"('recommended', 'link', 'article', 'donald')",248
9,"('link', 'article', 'donald', 'trump')",248
10,"('vice', 'president', 'mike', 'penny')",239
11,"('unlimited', 'newsweek', 'trialmicrosoft', 'may')",227
12,"('newsweek', 'trialmicrosoft', 'may', 'earn')",227
13,"('trialmicrosoft', 'may', 'earn', 'affiliate')",227
14,"('related', 'articlesstart', 'unlimited', 'newsweek')",214
15,"('articlesstart', 'unlimited', 'newsweek', 'trialmicrosoft')",214
16,"('vox', 'populi', 'vox', 'dei')",209
17,"('recommended', 'link', 'article', 'former')",208
18,"('former', 'vice', 'president', 'mike')",203
19,"('link', 'article', 'former', 'president')",180
20,"('article', 'former', 'president', 'donald')",180
21,"('florida', 'gov', 'ron', 'desantis')",177
22,"('people', 'spoken', 'trump', 'reinstated')",174
23,"('the', 'people', 'spoken', 'trump')",173
24,"('make', 'america', 'great', 'glorious')",153
25,"('candidacy', 'president', 'united', 'state')",146
26,"('voice', 'people', 'voice', 'god')",139
27,"('announcing', 'candidacy', 'president', 'united')",137
28,"('tonight', 'announcing', 'candidacy', 'president')",124
29,"('the', 'new', 'york', 'time')",123
30,"('formerly', 'known', 'kanye', 'west')",123
31,"('commicrosoft', 'may', 'earn', 'affiliate')",122
32,"('order', 'make', 'america', 'great')",121
33,"('in', 'order', 'make', 'america')",115
34,"('click', 'read', 'full', 'article')",115
35,"('trump', 'started', 'basically', 'screaming')",115
36,"('house', 'way', 'mean', 'committee')",112
37,"('florida', 'governor', 'ron', 'desantis')",108
38,"('started', 'basically', 'screaming', 'table')",107
39,"('basically', 'screaming', 'table', 'telling')",107
40,"('for', 'cnn', 'news', 'newsletter')",106
41,"('cnn', 'news', 'newsletter', 'create')",106
42,"('news', 'newsletter', 'create', 'account')",106
43,"('newsletter', 'create', 'account', 'cnn')",106
44,"('create', 'account', 'cnn', 'commicrosoft')",106
45,"('account', 'cnn', 'commicrosoft', 'may')",106
46,"('cnn', 'commicrosoft', 'may', 'earn')",106
47,"('comment', 'related', 'articlesstart', 'unlimited')",106
48,"('why', 'would', 'agree', 'meet')",99
49,"('expressed', 'anti', 'semitism', 'appreciated')",98
50,"('anti', 'semitism', 'appreciated', 'nice')",98
51,"('semitism', 'appreciated', 'nice', 'thing')",98
52,"('appreciated', 'nice', 'thing', 'said')",98
53,"('nice', 'thing', 'said', 'tucker')",98
54,"('thing', 'said', 'tucker', 'carlson')",98
55,"('america', 'great', 'glorious', 'tonight')",97
56,"('great', 'glorious', 'tonight', 'announcing')",97
57,"('glorious', 'tonight', 'announcing', 'candidacy')",97
58,"('attorney', 'general', 'merrick', 'garland')",96
59,"('got', 'along', 'great', 'expressed')",95
60,"('along', 'great', 'expressed', 'anti')",95
61,"('great', 'expressed', 'anti', 'semitism')",95
62,"('populi', 'vox', 'dei', 'musk')",94
63,"('spoken', 'trump', 'reinstated', 'vox')",93
64,"('trump', 'reinstated', 'vox', 'populi')",93
65,"('reinstated', 'vox', 'populi', 'vox')",93
66,"('donald', 'trump', 'twitter', 'account')",93
67,"('trump', 'medium', 'technology', 'group')",86
68,"('make', 'america', 'great', 'again')",83
69,"('thing', 'trump', 'perturbed', 'asking')",83
70,"('trump', 'perturbed', 'asking', 'vice')",83
71,"('perturbed', 'asking', 'vice', 'president')",83
72,"('republican', 'jewish', 'coalition', 'annual')",81
73,"('rep', 'marjorie', 'taylor', 'greene')",81
74,"('social', 'medium', 'platform', 'truth')",81
75,"('medium', 'platform', 'truth', 'social')",81
76,"('never', 'met', 'knew', 'nothing')",80
77,"('secretary', 'state', 'mike', 'pompeo')",79
78,"('trump', 're', 'talking', 'ye')",79
79,"('news', 'follow', 'facebook', 'twitter')",78
80,"('follow', 'facebook', 'twitter', 'instagram')",78
81,"('three', 'friend', 'knew', 'nothing')",78
82,"('newsletter', 'for', 'latest', 'news')",77
83,"('think', 'thing', 'trump', 'perturbed')",77
84,"('recommended', 'link', 'article', 'the')",76
85,"('holocaust', 'denier', 'nick', 'fuentes')",75
86,"('ye', 'formerly', 'known', 'kanye')",74
87,"('article', 'originally', 'appeared', 'usa')",72
88,"('originally', 'appeared', 'usa', 'today')",72
89,"('hold', 'trump', 're', 'talking')",71
90,"('white', 'house', 'spokesman', 'andrew')",71
91,"('house', 'spokesman', 'andrew', 'bates')",71
92,"('new', 'york', 'attorney', 'general')",70
93,"('for', 'latest', 'news', 'follow')",70
94,"('latest', 'news', 'follow', 'facebook')",70
95,"('white', 'nationalist', 'nick', 'fuentes')",70
96,"('would', 'agree', 'meet', 'also')",70
97,"('agree', 'meet', 'also', 'know')",70
98,"('meet', 'also', 'know', 'nick')",70
99,"('also', 'know', 'nick', 'fuentes')",70
