,4-gram,count
0,"('sandy', 'hook', 'elementary', 'school')",395
1,"('may', 'earn', 'affiliate', 'commission')",272
2,"('earn', 'affiliate', 'commission', 'purchase')",272
3,"('affiliate', 'commission', 'purchase', 'something')",272
4,"('commission', 'purchase', 'something', 'recommended')",272
5,"('purchase', 'something', 'recommended', 'link')",272
6,"('something', 'recommended', 'link', 'article')",243
7,"('former', 'president', 'donald', 'trump')",236
8,"('conspiracy', 'theorist', 'alex', 'jones')",224
9,"('microsoft', 'may', 'earn', 'affiliate')",219
10,"('company', 'free', 'speech', 'system')",206
11,"('infowars', 'founder', 'alex', 'jones')",162
12,"('jones', 'company', 'free', 'speech')",150
13,"('pay', 'nearly', 'billion', 'damage')",138
14,"('hook', 'elementary', 'school', 'shooting')",134
15,"('free', 'speech', 'system', 'pay')",118
16,"('count', 'parading', 'demonstrating', 'picketing')",116
17,"('parading', 'demonstrating', 'picketing', 'capitol')",116
18,"('demonstrating', 'picketing', 'capitol', 'building')",116
19,"('texas', 'man', 'described', 'video')",112
20,"('man', 'described', 'video', 'editor')",112
21,"('described', 'video', 'editor', 'conspiracy')",112
22,"('video', 'editor', 'conspiracy', 'theory')",112
23,"('editor', 'conspiracy', 'theory', 'promoting')",112
24,"('conspiracy', 'theory', 'promoting', 'infowars')",112
25,"('theory', 'promoting', 'infowars', 'website')",112
26,"('promoting', 'infowars', 'website', 'pleaded')",112
27,"('infowars', 'website', 'pleaded', 'guilty')",112
28,"('ordered', 'jones', 'company', 'free')",112
29,"('speech', 'system', 'pay', 'nearly')",111
30,"('scene', 'police', 'officer', 'fatally')",109
31,"('police', 'officer', 'fatally', 'shot')",109
32,"('woman', 'joined', 'mob', 'attack')",109
33,"('in', 'october', 'connecticut', 'jury')",109
34,"('district', 'judge', 'john', 'bates')",108
35,"('storming', 'capitol', 'captured', 'footage')",105
36,"('capitol', 'captured', 'footage', 'scene')",105
37,"('captured', 'footage', 'scene', 'police')",105
38,"('footage', 'scene', 'police', 'officer')",105
39,"('officer', 'fatally', 'shot', 'california')",105
40,"('fatally', 'shot', 'california', 'woman')",105
41,"('shot', 'california', 'woman', 'joined')",105
42,"('california', 'woman', 'joined', 'mob')",105
43,"('infowars', 'host', 'alex', 'jones')",104
44,"('system', 'pay', 'nearly', 'billion')",103
45,"('sandy', 'hook', 'school', 'shooting')",103
46,"('video', 'editor', 'infowarsstore', 'com')",101
47,"('the', 'officer', 'shot', 'babbitt')",101
48,"('samuel', 'christopher', 'montoya', 'face')",100
49,"('christopher', 'montoya', 'face', 'maximum')",100
50,"('montoya', 'face', 'maximum', 'sentence')",100
51,"('face', 'maximum', 'sentence', 'six')",100
52,"('maximum', 'sentence', 'six', 'month')",100
53,"('sentence', 'six', 'month', 'imprisonment')",100
54,"('six', 'month', 'imprisonment', 'pleading')",100
55,"('month', 'imprisonment', 'pleading', 'guilty')",100
56,"('misdemeanor', 'count', 'parading', 'demonstrating')",100
57,"('picketing', 'capitol', 'building', 'district')",100
58,"('capitol', 'building', 'district', 'judge')",100
59,"('building', 'district', 'judge', 'john')",100
60,"('judge', 'john', 'bates', 'scheduled')",100
61,"('john', 'bates', 'scheduled', 'sentence')",100
62,"('bates', 'scheduled', 'sentence', 'montoya')",100
63,"('website', 'pleaded', 'guilty', 'monday')",97
64,"('massacre', 'sandy', 'hook', 'elementary')",95
65,"('hook', 'elementary', 'school', 'the')",94
66,"('police', 'officer', 'shot', 'killed')",93
67,"('officer', 'shot', 'killed', 'babbitt')",93
68,"('shot', 'killed', 'babbitt', 'year')",93
69,"('killed', 'babbitt', 'year', 'old')",93
70,"('babbitt', 'year', 'old', 'air')",93
71,"('year', 'old', 'air', 'force')",93
72,"('old', 'air', 'force', 'veteran')",93
73,"('air', 'force', 'veteran', 'san')",93
74,"('force', 'veteran', 'san', 'diego')",93
75,"('veteran', 'san', 'diego', 'climbed')",93
76,"('san', 'diego', 'climbed', 'broken')",93
77,"('diego', 'climbed', 'broken', 'door')",93
78,"('climbed', 'broken', 'door', 'leading')",93
79,"('broken', 'door', 'leading', 'house')",93
80,"('door', 'leading', 'house', 'speaker')",93
81,"('leading', 'house', 'speaker', 'lobby')",93
82,"('house', 'speaker', 'lobby', 'identifying')",93
83,"('speaker', 'lobby', 'identifying', 'sam')",93
84,"('lobby', 'identifying', 'sam', 'infowars')",93
85,"('identifying', 'sam', 'infowars', 'com')",93
86,"('sam', 'infowars', 'com', 'montoya')",93
87,"('infowars', 'com', 'montoya', 'shot')",93
88,"('com', 'montoya', 'shot', 'narrated')",93
89,"('montoya', 'shot', 'narrated', 'minute')",93
90,"('shot', 'narrated', 'minute', 'video')",93
91,"('going', 'capitol', 'ground', 'building')",93
92,"('capitol', 'ground', 'building', 'fbi')",93
93,"('ground', 'building', 'fbi', 'said')",93
94,"('building', 'fbi', 'said', 'montoya')",93
95,"('fbi', 'said', 'montoya', 'described')",93
96,"('said', 'montoya', 'described', 'reporter')",93
97,"('montoya', 'described', 'reporter', 'journalist')",93
98,"('described', 'reporter', 'journalist', 'video')",93
99,"('reporter', 'journalist', 'video', 'wearing')",93
